learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,AUC,sAUC,Accuracy,Kappa,Periodical holdout AUC,Pos/Neg ratio,G-Mean,Recall,KappaM,model training instances,model serialized size (bytes),ensemble size,[avg] model training instances,[err] model training instances,[avg] model serialized size (bytes),[err] model serialized size (bytes),[avg] tree size (nodes),[err] tree size (nodes),[avg] tree size (leaves),[err] tree size (leaves),[avg] active learning leaves,[err] active learning leaves,[avg] tree depth,[err] tree depth,[avg] active leaf byte size estimate,[err] active leaf byte size estimate,[avg] inactive leaf byte size estimate,[err] inactive leaf byte size estimate,[avg] byte size estimate overhead,[err] byte size estimate overhead
1000.0,0.171875,3.547886283033424E-8,1000.0,0.982288059253328,0.751700406031494,0.946,0.891902712441197,0.0,0.941747572815534,0.9459499665443647,0.9443298969072165,0.8870292887029287,1000.0,797920.0,15.0,1089.6666666666665,34.728881901023506,3706.1333333333337,1309.8186279387073,1.5333333333333334,0.9154754164341269,1.2666666666666668,0.4577377082170635,1.2666666666666668,0.4577377082170635,0.2666666666666668,0.4577377082170635,0.0,0.0,0.0,0.0,1.0,0.0
2000.0,0.359375,7.633093951476945E-8,2000.0,0.9838336162851834,0.7519412478912055,0.941,0.8816430353947504,0.982288059253328,1.1231422505307855,0.9409753461175971,0.941398865784499,0.8782249742002063,2000.0,842200.0,15.0,2204.2666666666664,49.956361909551546,6634.133333333333,2069.354000878627,3.5333333333333337,1.4074631010979934,2.2666666666666666,0.7037315505489968,2.2666666666666666,0.7037315505489968,1.2666666666666668,0.7037315505489967,0.0,0.0,0.0,0.0,1.0,0.0
3000.0,0.5,1.0729188539294733E-7,3000.0,0.9833709718752002,0.732871626070632,0.927,0.854158675361207,0.9838336162851834,1.0661157024793388,0.9274744491717059,0.8972868217054264,0.8492773571920166,3000.0,851048.0,15.0,3517.333333333333,68.26175112511143,7219.200000000001,1532.295532852589,3.9333333333333336,1.0327955589886446,2.466666666666667,0.5163977794943222,2.466666666666667,0.5163977794943222,1.4666666666666668,0.5163977794943223,0.0,0.0,0.0,0.0,1.0,0.0
4000.0,0.671875,1.4653846543903153E-7,4000.0,0.9870439481757927,0.7194187904683109,0.948,0.8959945917187693,0.9833709718752002,0.9960079840319361,0.9478985146345448,0.935871743486974,0.8922837907819782,4000.0,882656.0,15.0,4679.733333333333,67.11340792874039,9308.800000000001,1158.6664255575397,5.4,0.8280786712108251,3.2,0.41403933560541256,3.2,0.41403933560541256,2.1333333333333337,0.35186577527449847,0.0,0.0,0.0,0.0,1.0,0.0
5000.0,0.78125,1.7169714232699738E-7,5000.0,0.9864955138384982,0.758688020838659,0.96,0.9200009599884801,0.9870439481757927,0.9880715705765407,0.960015197093479,0.9637826961770624,0.9166666666666666,5000.0,889144.0,15.0,5766.466666666666,68.08384187022288,9738.133333333331,1766.6121680722545,5.666666666666667,1.2344267996967355,3.3333333333333335,0.6172133998483678,3.3333333333333335,0.6172133998483678,2.2,0.41403933560541256,0.0,0.0,0.0,0.0,1.0,0.0
6000.0,0.90625,2.0080692290018002E-7,6000.0,0.9900624701974282,0.7760331038875418,0.955,0.9098333720715882,0.9864955138384982,0.9193857965451055,0.9548740166429455,0.9519832985386222,0.9061848505906879,6000.0,900184.0,15.0,6811.0666666666675,82.73837135959411,10467.733333333332,1796.2446328249334,6.2,1.2649110640673518,3.6,0.6324555320336759,3.6,0.6324555320336759,2.4666666666666672,0.5163977794943222,0.0,0.0,0.0,0.0,1.0,0.0
7000.0,1.015625,2.2707794818820224E-7,7000.0,0.9923780487804879,0.8057984523355018,0.968,0.9360040957378727,0.9900624701974282,0.968503937007874,0.9681053301940702,0.9776422764227642,0.9334323922734026,7000.0,928456.0,15.0,7847.133333333334,82.67999124565111,12335.466666666665,2663.2370707915015,7.8,1.9712215212183246,4.4,0.9856107606091622,4.4,0.9856107606091622,3.0,0.6546536707079771,0.0,0.0,0.0,0.0,1.0,0.0
8000.0,1.125,2.5499372794810267E-7,8000.0,0.992159886896729,0.8067648784019432,0.971,0.9416188881015267,0.9923780487804879,1.1367521367521367,0.9694335596850007,0.9906015037593985,0.9395833333333333,8000.0,986584.0,15.0,9007.266666666668,92.55999341482456,16177.6,1721.5227810616639,10.466666666666665,1.1872336794093277,5.7333333333333325,0.5936168397046638,5.7333333333333325,0.5936168397046638,3.733333333333333,0.45773770821706344,0.0,0.0,0.0,0.0,1.0,0.0
9000.0,1.265625,2.913636207166645E-7,9000.0,0.9906834908095519,0.8134652698461331,0.976,0.9519894376762887,0.992159886896729,0.9569471624266145,0.9761050896674497,0.9815950920245399,0.9501959880101453,9000.0,999728.0,15.0,10223.733333333332,98.67802379938703,17047.46666666667,2034.9617710226914,11.0,1.3093073414159542,6.0,0.6546536707079771,6.0,0.6546536707079771,3.8666666666666663,0.3518657752744984,0.0,0.0,0.0,0.0,1.0,0.0
10000.0,1.40625,3.2860400905418724E-7,10000.0,0.9937143429086177,0.8089701621771631,0.973,0.9459481101857783,0.9906834908095519,1.0618556701030928,0.9729439644512761,0.974757281553398,0.9441802770312177,10000.0,1023656.0,15.0,11458.800000000001,107.86777620242822,18630.399999999998,2445.894893197871,11.933333333333334,1.6676187756655838,6.466666666666667,0.8338093878327919,6.466666666666667,0.8338093878327919,4.2,0.4140393356054124,0.0,0.0,0.0,0.0,1.0,0.0
