learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,AUC,sAUC,Accuracy,Kappa,Periodical holdout AUC,Pos/Neg ratio,G-Mean,Recall,KappaM,model training instances,model serialized size (bytes),ensemble size,size of class 0,size of class 1,[avg] model training instances,[err] model training instances,[avg] model serialized size (bytes),[err] model serialized size (bytes),[avg] tree size (nodes),[err] tree size (nodes),[avg] tree size (leaves),[err] tree size (leaves),[avg] active learning leaves,[err] active learning leaves,[avg] tree depth,[err] tree depth,[avg] active leaf byte size estimate,[err] active leaf byte size estimate,[avg] inactive leaf byte size estimate,[err] inactive leaf byte size estimate,[avg] byte size estimate overhead,[err] byte size estimate overhead
1000.0,0.171875,2.067833621468809E-8,1000.0,0.9931335262505168,0.9220436817121025,0.977,0.9522643310779959,0.0,0.6949152542372882,0.9740578810749221,0.9585365853658536,0.9439024390243902,1000.0,465056.0,15.0,0.5578292995562623,0.44217070044373774,1020.2666666666667,34.31048708207917,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2000.0,0.296875,3.57171261890067E-8,2000.0,0.9988122134361087,0.9429966085340694,0.984,0.9667486865731196,0.9931335262505168,0.6778523489932886,0.9829747967910066,0.9777227722772277,0.9606879606879607,2000.0,465056.0,15.0,0.7447906909035127,0.2552093090964874,2032.3333333333333,48.07385191655894,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
3000.0,0.375,4.511636992295583E-8,3000.0,0.9995859830418654,0.9488180594491015,0.99,0.9792833703470449,0.9988122134361087,0.6891891891891891,0.9892606961566068,0.9852941176470589,0.9754500818330606,3000.0,465056.0,15.0,0.6200859177479006,0.37991408225209955,3047.9333333333334,63.04586388004338,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
4000.0,0.5,6.233264381686847E-8,4000.0,0.9978476180167278,0.9225708387997703,0.988,0.9750412858729518,0.9995859830418654,0.669449081803005,0.987922436738117,0.9875311720698254,0.9704251386321626,4000.0,532392.0,15.0,0.5897865211932971,0.41021347880670284,4048.4,61.94444515623886,7392.0,1275.2662467108585,4.6,0.828078671210825,2.8,0.4140393356054125,2.8,0.4140393356054125,1.7999999999999998,0.4140393356054125,0.0,0.0,0.0,0.0,1.0,0.0
5000.0,0.578125,7.367796368069119E-8,5000.0,0.9946877380838388,0.924662921884766,0.983,0.9645688656201282,0.9978476180167278,0.669449081803005,0.9816657402567223,0.9750623441396509,0.9580039525691699,5000.0,561344.0,15.0,0.6183533025535441,0.38164669744645574,5077.666666666667,63.8163287060907,9310.4,1638.5950776721588,5.4,1.1212238211627763,3.2,0.5606119105813882,3.2,0.5606119105813882,2.2,0.5606119105813882,0.0,0.0,0.0,0.0,1.0,0.0
6000.0,0.671875,8.748617902812031E-8,6000.0,0.9994073356817309,0.9468112669913367,0.992,0.9833052304712934,0.9946877380838388,0.6611295681063123,0.9916511531528656,0.9899497487437185,0.9801816680429397,6000.0,569336.0,15.0,0.7558835121165014,0.24411648788349855,6085.2,81.63437651241915,9838.400000000001,2073.1518034143087,5.800000000000002,1.4735767952260146,3.400000000000001,0.7367883976130073,3.400000000000001,0.7367883976130073,2.400000000000001,0.7367883976130073,0.0,0.0,0.0,0.0,1.0,0.0
7000.0,0.734375,9.670523771395287E-8,7000.0,0.9990075021163558,0.9457587940692521,0.987,0.9728596719778201,0.9994073356817309,0.6638935108153078,0.9857977548664023,0.9799498746867168,0.967741935483871,7000.0,570176.0,15.0,0.640721865533001,0.3592781344669989,7085.133333333332,82.6929489710205,9894.4,2037.9377811896022,5.800000000000002,1.4735767952260146,3.400000000000001,0.7367883976130073,3.400000000000001,0.7367883976130073,2.400000000000001,0.7367883976130073,0.0,0.0,0.0,0.0,1.0,0.0
8000.0,0.8125,1.0822906107124356E-7,8000.0,0.9983111199853575,0.948303245786033,0.989,0.9771117529068074,0.9990075021163558,0.6722408026755853,0.9883512619216134,0.9850746268656716,0.9726962457337883,8000.0,570176.0,15.0,0.6384516093206252,0.3615483906793749,8136.4,95.87849453493581,9894.4,2037.9377811896022,5.800000000000002,1.4735767952260146,3.400000000000001,0.7367883976130073,3.400000000000001,0.7367883976130073,2.400000000000001,0.7367883976130073,0.0,0.0,0.0,0.0,1.0,0.0
9000.0,0.875,1.1750930247621405E-7,9000.0,0.9971193725332799,0.9260302096326051,0.982,0.9624373956594323,0.9983111199853575,0.6556291390728477,0.9820556194440232,0.9823232323232324,0.9552362531085935,9000.0,573960.0,15.0,0.6855427271098973,0.3144572728901028,9163.266666666666,98.36917829328091,10144.000000000002,2425.15578291964,6.200000000000001,2.2424476423255526,3.6,1.1212238211627763,3.6,1.1212238211627763,2.6000000000000005,1.1212238211627763,0.0,0.0,0.0,0.0,1.0,0.0
10000.0,1.0,1.3842629010064736E-7,10000.0,0.9987545010605239,0.9204998085765165,0.993,0.9856178962680495,0.9971193725332799,0.718213058419244,0.9929750454891465,0.992822966507177,0.9826603913797374,10000.0,646832.0,15.0,0.5295411451884877,0.47045885481151234,10191.666666666668,104.67750929584159,14957.866666666667,2092.2353687133864,9.8,1.8205179796655986,5.4,0.9102589898327993,5.4,0.9102589898327993,3.466666666666667,0.7432233529572065,0.0,0.0,0.0,0.0,1.0,0.0
