learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,AUC,sAUC,Accuracy,Kappa,Periodical holdout AUC,Pos/Neg ratio,G-Mean,Recall,KappaM,model training instances,model serialized size (bytes),ensemble size,size of class 0,size of class 1,[avg] model training instances,[err] model training instances,[avg] model serialized size (bytes),[err] model serialized size (bytes),[avg] tree size (nodes),[err] tree size (nodes),[avg] tree size (leaves),[err] tree size (leaves),[avg] active learning leaves,[err] active learning leaves,[avg] tree depth,[err] tree depth,[avg] active leaf byte size estimate,[err] active leaf byte size estimate,[avg] inactive leaf byte size estimate,[err] inactive leaf byte size estimate,[avg] byte size estimate overhead,[err] byte size estimate overhead
1000.0,0.125,4.55960010488828E-9,1000.0,0.9930467135179827,0.9305141632760364,0.98,0.9585681140205502,0.0,0.6949152542372882,0.9781638230147423,0.9682926829268292,0.9512195121951219,1000.0,141000.0,15.0,0.5578292995562623,0.44217070044373774,740.8666666666666,27.720200645188758,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2000.0,0.171875,6.269450144221385E-9,2000.0,0.9988163665359825,0.952380793454573,0.984,0.9667486865731196,0.9930467135179827,0.6778523489932886,0.9829747967910066,0.9777227722772277,0.9606879606879607,2000.0,141000.0,15.0,0.7447906909035127,0.2552093090964874,1441.2666666666662,34.295911182085746,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
3000.0,0.234375,8.549250196665525E-9,3000.0,0.999581842872284,0.9587104217687217,0.988,0.9751589825119237,0.9988163665359825,0.6891891891891891,0.9875768469424808,0.9852941176470589,0.9705400981996727,3000.0,141000.0,15.0,0.6200859177479006,0.37991408225209955,2156.4,46.08346465149634,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
4000.0,0.296875,1.0829050249109665E-8,4000.0,0.9985470380809246,0.96314991918607,0.989,0.9771494096238377,0.999581842872284,0.669449081803005,0.9895771964528586,0.9925187032418953,0.9728897104128158,4000.0,141000.0,15.0,0.5897865211932971,0.41021347880670284,2883.4666666666667,46.55851413109357,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
5000.0,0.359375,1.3806436780012315E-8,5000.0,0.9941569282136895,0.9041472138994706,0.982,0.9625619288094277,0.9985470380809246,0.669449081803005,0.9816763426237375,0.9800498753117207,0.9555335968379446,5000.0,184144.0,15.0,0.6183533025535441,0.38164669744645574,3605.933333333333,48.79617471346153,5795.733333333334,162.63169022877017,3.1333333333333337,0.5163977794943222,2.066666666666667,0.25819888974716115,2.066666666666667,0.25819888974716115,1.0666666666666669,0.2581988897471611,0.0,0.0,0.0,0.0,1.0,0.0
6000.0,0.390625,1.5627819165173504E-8,6000.0,0.9977879430374463,0.9376867222354488,0.99,0.9791492910758965,0.9941569282136895,0.6611295681063123,0.9899914847877496,0.9899497487437185,0.9752270850536746,6000.0,225296.0,15.0,0.7558835121165014,0.24411648788349855,4325.599999999999,59.915178139003885,8515.733333333334,107.41073813481884,5.0,0.0,3.0,0.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
7000.0,0.453125,1.9320901224596632E-8,7000.0,0.9988490360677067,0.9530587175823942,0.99,0.9791492041251214,0.9977879430374463,0.6638935108153078,0.9895723612270584,0.9874686716791979,0.9751861042183623,7000.0,228408.0,15.0,0.640721865533001,0.3592781344669989,5041.8,65.58876210362351,8723.2,131.82845996651426,5.0,0.0,3.0,0.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
8000.0,0.515625,2.3018639896892837E-8,8000.0,0.9982861611674071,0.9557062752089179,0.986,0.9709524283769877,0.9988490360677067,0.6722408026755853,0.9866578613362864,0.9900497512437811,0.9652497672975489,8000.0,228696.0,15.0,0.6384516093206252,0.3615483906793749,5765.2,61.11020489948584,8742.4,119.24332865435895,5.0,0.0,3.0,0.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
9000.0,0.5625,2.57954363607698E-8,9000.0,0.9976837915579637,0.9372115556278756,0.977,0.9521072796934865,0.9982861611674071,0.6556291390728477,0.9779066544637434,0.9823232323232324,0.9428018789720917,9000.0,228984.0,15.0,0.6855427271098973,0.3144572728901028,6489.0,66.75434710296294,8761.6,101.33734327905553,5.0,0.0,3.0,0.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
10000.0,0.59375,2.764663400335444E-8,10000.0,0.9992066623916868,0.9621819717923183,0.99,0.9794610581662833,0.9976837915579637,0.718213058419244,0.9900606027109646,0.9904306220095693,0.9752291305424821,10000.0,228984.0,15.0,0.5295411451884877,0.47045885481151234,7235.2666666666655,75.53094603885093,8761.6,101.33734327905553,5.0,0.0,3.0,0.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
