learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,AUC,sAUC,Accuracy,Kappa,Periodical holdout AUC,Pos/Neg ratio,G-Mean,Recall,KappaM,model training instances,model serialized size (bytes),ensemble size,size of class 0,size of class 1,[avg] model training instances,[err] model training instances,[avg] model serialized size (bytes),[err] model serialized size (bytes),[avg] tree size (nodes),[err] tree size (nodes),[avg] tree size (leaves),[err] tree size (leaves),[avg] active learning leaves,[err] active learning leaves,[avg] tree depth,[err] tree depth,[avg] active leaf byte size estimate,[err] active leaf byte size estimate,[avg] inactive leaf byte size estimate,[err] inactive leaf byte size estimate,[avg] byte size estimate overhead,[err] byte size estimate overhead
1000.0,0.171875,2.067833621468809E-8,1000.0,0.9959151993790784,0.9722471850190876,0.994,0.987995630409469,0.0,0.9723865877712031,0.9938961789867503,0.9878296146044625,0.987603305785124,1000.0,465056.0,15.0,0.5565785416597977,0.4434214583402022,1179.3333333333335,35.31423562949138,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2000.0,0.296875,3.57171261890067E-8,2000.0,0.9995430330579507,0.9721547458943381,0.99,0.979953893956099,0.9959151993790784,1.0964360587002095,0.9898835303499804,0.9923518164435946,0.9790794979079498,2000.0,465056.0,15.0,0.38002619745723754,0.6199738025427625,2358.9333333333334,49.385461519801645,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
3000.0,0.40625,5.004885477117366E-8,3000.0,0.9998879637002389,0.9563342105819039,0.994,0.9879961107398797,0.9995430330579507,1.0366598778004072,0.9939980494989213,0.9941060903732809,0.987551867219917,3000.0,506504.0,15.0,0.3072529386340135,0.6927470613659864,3539.066666666667,65.63368763356932,5683.200000000001,138.2271422591918,3.0,0.0,2.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
4000.0,0.515625,6.565297048331963E-8,4000.0,0.9998318486637974,0.9567701442201126,0.994,0.9879848609247652,0.9998879637002389,0.941747572815534,0.9937951831133925,0.9876288659793815,0.9874869655891554,4000.0,551472.0,15.0,0.520440653684614,0.479559346315386,4675.266666666667,63.598592377355054,8655.466666666667,2323.0452263805637,5.133333333333334,1.5976172734359606,3.066666666666667,0.7988086367179803,3.066666666666667,0.7988086367179803,1.7999999999999998,0.560611910581388,0.0,0.0,0.0,0.0,1.0,0.0
5000.0,0.609375,7.951493090432552E-8,5000.0,0.9995999423917044,0.9603243900090467,0.996,0.9919988478340881,0.9998318486637974,1.0242914979757085,0.9959994227600837,0.9960474308300395,0.9917321207110376,5000.0,571552.0,15.0,0.5216251533091426,0.4783748466908574,5839.333333333333,68.99654925808828,9982.933333333332,1468.2806011827315,6.066666666666666,1.0327955589886444,3.533333333333333,0.5163977794943222,3.533333333333333,0.5163977794943222,2.2,0.41403933560541256,0.0,0.0,0.0,0.0,1.0,0.0
6000.0,0.671875,8.908051919812959E-8,6000.0,0.9996912280701754,0.9652327455652906,0.994,0.9879650987864808,0.9995999423917044,0.9047619047619048,0.9937751115977285,0.9894736842105263,0.98750433877126,6000.0,591608.0,15.0,0.3965692274684247,0.6034307725315752,6952.666666666667,88.32704380124285,11308.266666666666,2649.0284867870946,7.133333333333332,2.065591117977289,4.066666666666666,1.0327955589886446,4.066666666666666,1.0327955589886446,2.6666666666666665,0.8164965809277261,0.0,0.0,0.0,0.0,1.0,0.0
7000.0,0.75,1.0129749878413149E-7,7000.0,0.9988663630282127,0.9767239860136658,0.998,0.995994825314306,0.9996912280701754,0.9267822736030829,0.9980713578962147,1.0,0.9958358120166567,7000.0,604472.0,15.0,0.6097899560805486,0.3902100439194514,8085.266666666666,90.24131669083313,12158.4,3406.6398358835313,7.666666666666666,2.4688535993934706,4.333333333333333,1.2344267996967355,4.333333333333333,1.2344267996967355,2.933333333333333,1.0327955589886446,0.0,0.0,0.0,0.0,1.0,0.0
8000.0,0.8125,1.1175482844312987E-7,8000.0,0.9997678179692879,0.954717600780155,0.993,0.9859913706843415,0.9988663630282127,1.0576131687242798,0.9930746087721773,0.9902723735408561,0.9855744461617723,8000.0,646760.0,15.0,0.4150180750925348,0.5849819249074653,9297.6,108.06532415957612,14955.2,3531.326970336869,9.533333333333333,2.445598573141631,5.266666666666667,1.2227992865708155,5.266666666666667,1.2227992865708155,3.6666666666666665,1.0465362369445672,0.0,0.0,0.0,0.0,1.0,0.0
9000.0,0.90625,1.2811816607912384E-7,9000.0,0.9997719917917045,0.9570027415347866,0.995,0.99,0.9997678179692879,1.012072434607646,0.9950133877788313,0.9920477137176938,0.9897330595482546,9000.0,674688.0,15.0,0.5546373330007341,0.44536266699926585,10464.933333333332,112.78137299766342,16802.666666666664,2404.370623518366,10.733333333333333,1.667618775665584,5.866666666666666,0.833809387832792,5.866666666666666,0.833809387832792,4.266666666666667,0.5936168397046635,0.0,0.0,0.0,0.0,1.0,0.0
10000.0,1.0,1.4472151330361766E-7,10000.0,0.999329745263065,0.9666440724689687,0.998,0.9959874326390254,0.9997719917917045,1.1231422505307855,0.998107850717304,0.996219281663516,0.9958796868562011,10000.0,684584.0,15.0,0.4288461924041048,0.5711538075958952,11628.0,121.78787178650308,17457.6,2295.327328042156,11.133333333333333,1.5976172734359606,6.066666666666666,0.7988086367179803,6.066666666666666,0.7988086367179803,4.466666666666667,0.6399404734221843,0.0,0.0,0.0,0.0,1.0,0.0
11000.0,1.078125,1.5888553914717505E-7,11000.0,0.9998799611073989,0.9703591593742348,0.994,0.9879952461174625,0.999329745263065,0.9646365422396856,0.9939598069216277,0.9918533604887984,0.9876750700280112,11000.0,700808.0,15.0,0.5805798074996955,0.41942019250030443,12814.866666666669,113.39177764765486,18529.6,2560.069999042995,11.933333333333332,1.8309508328682533,6.466666666666666,0.9154754164341267,6.466666666666666,0.9154754164341267,4.466666666666667,0.6399404734221843,0.0,0.0,0.0,0.0,1.0,0.0
12000.0,1.15625,1.7331845204656327E-7,12000.0,0.9999037964332528,0.974694887706092,0.998,0.9959915180521984,0.9998799611073989,0.9120458891013384,0.9979957547675973,0.9979035639412998,0.9958819492107069,12000.0,714112.0,15.0,0.544348574894352,0.45565142510564816,13990.466666666669,90.81839545147714,19407.999999999996,2997.2208079199913,12.73333333333333,2.2509257354845507,6.866666666666665,1.1254628677422753,6.866666666666665,1.1254628677422753,4.800000000000001,0.8618916073713346,0.0,0.0,0.0,0.0,1.0,0.0
