learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,AUC,sAUC,Accuracy,Kappa,Periodical holdout AUC,Pos/Neg ratio,G-Mean,Recall,KappaM,model training instances,model serialized size (bytes),ensemble size,[avg] model training instances,[err] model training instances,[avg] model serialized size (bytes),[err] model serialized size (bytes),[avg] tree size (nodes),[err] tree size (nodes),[avg] tree size (leaves),[err] tree size (leaves),[avg] active learning leaves,[err] active learning leaves,[avg] tree depth,[err] tree depth,[avg] active leaf byte size estimate,[err] active leaf byte size estimate,[avg] inactive leaf byte size estimate,[err] inactive leaf byte size estimate,[avg] byte size estimate overhead,[err] byte size estimate overhead
1000.0,0.203125,2.615952527978354E-8,1000.0,0.8431122448979592,0.5251081783717737,0.783,0.10241561879550011,0.0,0.02040816326530612,0.8150998436400543,0.85,-9.849999999999989,1000.0,497816.0,15.0,2520.7999999999997,44.59692494203729,5114.133333333333,3111.34692621027,2.6,2.2928460168844436,1.8,1.1464230084422218,1.8,1.1464230084422218,0.8,1.1464230084422218,0.0,0.0,0.0,0.0,1.0,0.0
2000.0,0.390625,5.419194672463669E-8,2000.0,0.9772150772106271,0.6656672977692243,0.905,0.28926262868087166,0.8431122448979592,0.02354145342886387,0.929780625699677,0.9565217391304348,-3.4186046511627968,2000.0,577912.0,15.0,5417.400000000001,71.18868288870517,10405.333333333332,1657.968923828475,7.0,1.6903085094570331,3.9999999999999996,0.8451542547285167,3.9999999999999996,0.8451542547285167,2.8,0.5606119105813882,0.0,0.0,0.0,0.0,1.0,0.0
3000.0,0.5625,8.216561076955663E-8,3000.0,0.9736365693595836,0.6958819320758453,0.893,0.21653047476788764,0.9772150772106271,0.018329938900203666,0.9178770630010509,0.9444444444444444,-4.262295081967217,3000.0,629128.0,15.0,7688.733333333334,109.60543955914038,13792.533333333335,2043.601228457348,9.0,1.3093073414159542,5.0,0.6546536707079771,5.0,0.6546536707079771,3.4666666666666663,0.5163977794943221,0.0,0.0,0.0,0.0,1.0,0.0
4000.0,0.71875,1.096764915726251E-7,4000.0,0.9838200136612022,0.7400435473775949,0.944,0.41879774161408045,0.9736365693595836,0.02459016393442623,0.9305640512892772,0.9166666666666666,-1.6352941176470623,4000.0,680592.0,15.0,10449.266666666668,123.44430014421576,17192.533333333333,2514.990879468457,11.933333333333334,1.98086080374405,6.466666666666667,0.990430401872025,6.466666666666667,0.990430401872025,4.066666666666666,0.45773770821706344,0.0,0.0,0.0,0.0,1.0,0.0
5000.0,0.859375,1.364147626898355E-7,5000.0,0.9903428295509416,0.8308721899160829,0.963,0.4784912893950503,0.9838200136612022,0.019367991845056064,0.9553023644040777,0.9473684210526315,-0.778846153846152,5000.0,734976.0,15.0,12606.133333333335,103.9092094548111,20787.733333333334,2937.1004036212958,14.200000000000001,2.4842360136324753,7.6000000000000005,1.2421180068162376,7.6000000000000005,1.2421180068162376,4.533333333333333,0.7432233529572064,0.0,0.0,0.0,0.0,1.0,0.0
6000.0,1.03125,1.7135863244119618E-7,6000.0,0.9952201489107455,0.8575673152159996,0.977,0.4802494802494806,0.9903428295509416,0.011122345803842264,0.9883036912035246,1.0,-0.20000000000000115,6000.0,785888.0,15.0,16435.133333333335,118.89963755001037,24147.2,5256.701670928535,17.800000000000004,3.004758131459407,9.400000000000002,1.5023790657297036,9.400000000000002,1.5023790657297036,5.333333333333333,0.7237468644557459,0.0,0.0,0.0,0.0,1.0,0.0
7000.0,1.15625,1.9846606947895553E-7,7000.0,0.9921448087431693,0.8239954166806032,0.977,0.6558946738479955,0.9952201489107455,0.02459016393442623,0.9678489331383535,0.9583333333333334,-0.15827338129496218,7000.0,838264.0,15.0,18902.333333333336,144.052404485643,27612.8,4536.774738574908,19.53333333333334,2.77402921672395,10.26666666666667,1.387014608361975,10.26666666666667,1.387014608361975,5.6,0.50709255283711,0.0,0.0,0.0,0.0,1.0,0.0
8000.0,1.25,2.197093433803982E-7,8000.0,0.9926108374384236,0.8298162027592563,0.967,0.44708799678305655,0.9921448087431693,0.014198782961460446,0.9831233087269734,1.0,-0.7254901960784377,8000.0,875896.0,15.0,21503.333333333332,152.17643269135542,30100.800000000003,3991.549702630725,21.266666666666666,2.9146591730832085,11.133333333333333,1.4573295865416043,11.133333333333333,1.4573295865416043,5.800000000000001,0.7745966692414832,0.0,0.0,0.0,0.0,1.0,0.0
9000.0,1.390625,2.52537008944071E-7,9000.0,0.995846313603323,0.9049187191466446,0.976,0.7432770682241194,0.9926108374384236,0.03842159916926272,0.9874603190103072,1.0,-0.13684210526316054,9000.0,902360.0,15.0,23891.733333333334,162.30151247718177,31852.8,4082.602867219462,21.933333333333334,3.1045281828476354,11.466666666666667,1.5522640914238177,11.466666666666667,1.5522640914238177,5.933333333333333,0.7988086367179804,0.0,0.0,0.0,0.0,1.0,0.0
10000.0,1.546875,2.898574974905286E-7,10000.0,0.9968877032520326,0.9234473987408444,0.977,0.5721089447834506,0.995846313603323,0.016260162601626018,0.9882439052481744,1.0,-0.11650485436893565,10000.0,923272.0,15.0,26017.133333333335,187.62190957449772,33232.53333333333,4611.409915581547,23.4,3.135055251278904,12.2,1.567527625639452,12.2,1.567527625639452,6.3999999999999995,0.7367883976130074,0.0,0.0,0.0,0.0,1.0,0.0
11000.0,1.640625,3.1363358074385263E-7,11000.0,0.9929471277785884,0.8589231514994206,0.961,0.49062222454417154,0.9968877032520326,0.021450459652706845,0.9567727911270993,0.9523809523809523,-0.8898678414096898,11000.0,980328.0,15.0,28746.6,177.38690562077653,37000.00000000001,4749.705073550807,26.86666666666667,4.2403953095144775,13.933333333333335,2.1201976547572388,13.933333333333335,2.1201976547572388,6.933333333333333,0.7988086367179803,0.0,0.0,0.0,0.0,1.0,0.0
12000.0,1.78125,3.508585440512333E-7,12000.0,0.993148717948718,0.8536114778816473,0.958,0.5158501440922185,0.9929471277785884,0.02564102564102564,0.9589738105030654,0.96,-1.0,12000.0,1023232.0,15.0,31359.4,193.9200129655816,39834.13333333333,5760.563834837532,29.666666666666668,3.8297084310253524,15.333333333333334,1.9148542155126762,15.333333333333334,1.9148542155126762,7.333333333333333,0.8997354108424374,0.0,0.0,0.0,0.0,1.0,0.0
13000.0,1.9375,3.951393753393657E-7,13000.0,0.9630572527721204,0.8820715143149501,0.973,0.5458521159927329,0.993148717948718,0.018329938900203666,0.9588737075631467,0.9444444444444444,-0.3000000000000016,13000.0,1095464.0,15.0,33819.13333333333,198.35821372552545,44605.86666666667,7024.663467960244,33.400000000000006,4.548155041960892,17.200000000000003,2.274077520980446,17.200000000000003,2.274077520980446,7.733333333333333,0.9611501047232549,0.0,0.0,0.0,0.0,1.0,0.0
14000.0,2.078125,4.3731868370539616E-7,14000.0,0.9900742905857995,0.8487653710779931,0.96,0.5969367190648923,0.9630572527721204,0.035196687370600416,0.9508695838725938,0.9411764705882353,-0.8421052631578988,14000.0,1159416.0,15.0,36290.73333333333,226.0633497390462,48836.8,6969.620805426116,35.93333333333334,4.712698145385911,18.46666666666667,2.3563490726929555,18.46666666666667,2.3563490726929555,7.866666666666668,0.9154754164341263,0.0,0.0,0.0,0.0,1.0,0.0
15000.0,2.203125,4.761227561781804E-7,15000.0,0.9966835871404399,0.8777952564845919,0.971,0.4797273053462501,0.9900742905857995,0.015228426395939087,0.9522615346935173,0.9333333333333333,-0.36363636363636553,15000.0,1199968.0,15.0,38480.46666666667,233.12316385080504,51518.4,6905.590414398219,37.39999999999999,4.852098220652292,19.199999999999996,2.426049110326146,19.199999999999996,2.426049110326146,7.866666666666668,0.9154754164341263,0.0,0.0,0.0,0.0,1.0,0.0
16000.0,2.34375,5.212715283657114E-7,16000.0,0.995976178979559,0.8719818818752425,0.965,0.5066809494277503,0.9966835871404399,0.019367991845056064,0.9819990429147185,1.0,-0.6568047337278161,16000.0,1241040.0,15.0,42084.13333333333,263.10341982537915,54226.66666666668,6799.385294344803,40.86666666666667,5.040786030920555,20.933333333333334,2.5203930154602774,20.933333333333334,2.5203930154602774,8.2,1.082325538564332,0.0,0.0,0.0,0.0,1.0,0.0
17000.0,2.484375,5.681036661068598E-7,17000.0,0.9949443882709808,0.8360712400017545,0.976,0.4453944631880574,0.995976178979559,0.011122345803842264,0.9423105963758888,0.9090909090909091,-0.16905444126074462,17000.0,1287312.0,15.0,43874.866666666676,281.7546720785585,57291.2,6848.764843803172,41.4,4.9106298694043025,21.2,2.4553149347021512,21.2,2.4553149347021512,8.2,1.082325538564332,0.0,0.0,0.0,0.0,1.0,0.0
18000.0,2.625,6.162149171965818E-7,18000.0,0.9995653433787308,0.908193130956148,0.973,0.49862586347768023,0.9949443882709808,0.014198782961460446,0.9862132796003309,1.0,-0.3388429752066128,18000.0,1322472.0,15.0,47916.86666666667,291.2894649329987,59611.73333333333,6184.13591916176,43.8,5.002856326996752,22.4,2.501428163498376,22.4,2.501428163498376,8.599999999999998,1.1212238211627765,0.0,0.0,0.0,0.0,1.0,0.0
19000.0,2.734375,6.539682120395203E-7,19000.0,0.9996605566870332,0.9374229080352446,0.979,0.6222749838117853,0.9995653433787308,0.018329938900203666,0.9892497517225343,1.0,-0.047244094488192334,19000.0,1334256.0,15.0,50260.399999999994,272.4179561944168,60390.4,6748.721072491122,44.46666666666666,5.780097214539199,22.73333333333333,2.8900486072695997,22.73333333333333,2.8900486072695997,8.666666666666666,1.1126972805283735,0.0,0.0,0.0,0.0,1.0,0.0
20000.0,2.859375,6.982906294676164E-7,20000.0,0.9758478931140802,0.8592287957429127,0.98,0.7044829929962472,0.9996605566870332,0.02774922918807811,0.9533083300308063,0.9259259259259259,0.019607843137252768,20000.0,1370616.0,15.0,52804.4,288.40219931794695,62796.26666666667,7275.671470894006,45.8,5.9425824112321495,23.4,2.9712912056160747,23.4,2.9712912056160747,8.666666666666666,1.1126972805283735,0.0,0.0,0.0,0.0,1.0,0.0
21000.0,2.984375,7.434949576337304E-7,21000.0,0.9972052845528455,0.8838959396568141,0.974,0.5248538011695911,0.9758478931140802,0.016260162601626018,0.9558668330050083,0.9375,-0.2877358490566041,21000.0,1397888.0,15.0,55811.26666666667,306.3066779428441,64598.400000000016,8231.098215218397,47.400000000000006,6.15049359227139,24.200000000000003,3.075246796135695,24.200000000000003,3.075246796135695,8.666666666666666,1.1126972805283735,0.0,0.0,0.0,0.0,1.0,0.0
22000.0,3.15625,8.078808766893215E-7,22000.0,0.9972761321075928,0.8623598014320785,0.976,0.6141106859182559,0.9972052845528455,0.021450459652706845,0.9643683545537722,0.9523809523809523,-0.18651685393258338,22000.0,1448040.0,15.0,58363.86666666667,311.9308226117425,67917.33333333334,8976.625731521255,48.73333333333333,7.205817755384153,24.866666666666664,3.6029088776920766,24.866666666666664,3.6029088776920766,8.666666666666666,1.1126972805283735,0.0,0.0,0.0,0.0,1.0,0.0
