learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,AUC,sAUC,Accuracy,Kappa,Periodical holdout AUC,Pos/Neg ratio,G-Mean,Recall,KappaM,model training instances,model serialized size (bytes),ensemble size,size of class 0,size of class 1,[avg] model training instances,[err] model training instances,[avg] model serialized size (bytes),[err] model serialized size (bytes),[avg] tree size (nodes),[err] tree size (nodes),[avg] tree size (leaves),[err] tree size (leaves),[avg] active learning leaves,[err] active learning leaves,[avg] tree depth,[err] tree depth,[avg] active leaf byte size estimate,[err] active leaf byte size estimate,[avg] inactive leaf byte size estimate,[err] inactive leaf byte size estimate,[avg] byte size estimate overhead,[err] byte size estimate overhead
1000.0,0.1875,2.2554304450750352E-8,1000.0,0.9929102935097147,0.9278042823563359,0.98,0.9585989898153514,0.0,0.6949152542372882,0.9785546706694752,0.9707317073170731,0.9512195121951219,1000.0,464976.0,15.0,0.5578292995562623,0.44217070044373774,926.3333333333334,33.54030979213493,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2000.0,0.3125,3.759050741791725E-8,2000.0,0.9987997541364875,0.9509978563925202,0.984,0.9667486865731196,0.9929102935097147,0.6778523489932886,0.9829747967910066,0.9777227722772277,0.9606879606879607,2000.0,464976.0,15.0,0.7447906909035127,0.2552093090964874,1874.1999999999998,44.946317185854376,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
3000.0,0.40625,4.8867659643292425E-8,3000.0,0.9995901232114467,0.9562329983367994,0.988,0.9751589825119237,0.9987997541364875,0.6891891891891891,0.9875768469424808,0.9852941176470589,0.9705400981996727,3000.0,464976.0,15.0,0.6200859177479006,0.37991408225209955,2832.9333333333334,59.56684920162832,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
4000.0,0.546875,6.79297954775393E-8,4000.0,0.9975312137019721,0.9339453634325378,0.988,0.975061825889981,0.9995901232114467,0.669449081803005,0.988333227140931,0.9900249376558603,0.9704251386321626,4000.0,523976.0,15.0,0.5897865211932971,0.41021347880670284,3778.5333333333338,56.39891927367139,6841.6,1348.8761883244035,4.066666666666666,1.0327955589886446,2.533333333333333,0.5163977794943222,2.533333333333333,0.5163977794943222,1.5333333333333334,0.5163977794943223,0.0,0.0,0.0,0.0,1.0,0.0
5000.0,0.65625,8.381120601875915E-8,5000.0,0.9945878209318108,0.9284359419146291,0.982,0.9625619288094277,0.9975312137019721,0.669449081803005,0.9816763426237375,0.9800498753117207,0.9555335968379446,5000.0,561272.0,15.0,0.6183533025535441,0.38164669744645574,4728.333333333332,62.098615888263225,9310.933333333332,1977.9212560762107,5.4,1.3522468075656264,3.2,0.6761234037828132,3.2,0.6761234037828132,2.2,0.6761234037828132,0.0,0.0,0.0,0.0,1.0,0.0
6000.0,0.78125,1.0256131645292044E-7,6000.0,0.9993572513731448,0.9539961281116338,0.989,0.9770739718718476,0.9945878209318108,0.6611295681063123,0.9891606063494822,0.9899497487437185,0.9727497935590421,6000.0,579824.0,15.0,0.7558835121165014,0.24411648788349855,5679.600000000001,75.2109414532602,10536.533333333335,2417.731577523109,6.333333333333333,1.7994708216848745,3.6666666666666665,0.8997354108424372,3.6666666666666665,0.8997354108424372,2.6666666666666665,0.8997354108424372,0.0,0.0,0.0,0.0,1.0,0.0
7000.0,0.875,1.1687050573527813E-7,7000.0,0.9988657167044066,0.9536935121272941,0.987,0.9729509288234902,0.9993572513731448,0.6638935108153078,0.9874968463120881,0.9899749373433584,0.967741935483871,7000.0,589992.0,15.0,0.640721865533001,0.3592781344669989,6625.533333333334,74.22443443143692,11209.6,2920.7438582858113,6.733333333333333,2.1201976547572388,3.8666666666666667,1.0600988273786194,3.8666666666666667,1.0600988273786194,2.8666666666666667,1.0600988273786194,0.0,0.0,0.0,0.0,1.0,0.0
8000.0,0.984375,1.339554890162415E-7,8000.0,0.9980656916088454,0.9538858161129661,0.991,0.9813341518653405,0.9988657167044066,0.6722408026755853,0.9920523120347406,0.9975124378109452,0.9776605646912814,8000.0,603808.0,15.0,0.6384516093206252,0.3615483906793749,7592.066666666667,86.20197765933764,12122.666666666668,3814.0332358029505,7.3999999999999995,2.746426249302381,4.2,1.3732131246511903,4.2,1.3732131246511903,3.0,1.1338934190276817,0.0,0.0,0.0,0.0,1.0,0.0
9000.0,1.078125,1.4862052113231684E-7,9000.0,0.9979639106294735,0.9446890557099027,0.979,0.956309710062914,0.9980656916088454,0.6556291390728477,0.980417330365859,0.9873737373737373,0.9477756286266924,9000.0,604664.0,15.0,0.6855427271098973,0.3144572728901028,8552.666666666666,90.10602220770404,12179.733333333334,3880.906953400504,7.3999999999999995,2.746426249302381,4.2,1.3732131246511903,4.2,1.3732131246511903,3.0,1.1338934190276817,0.0,0.0,0.0,0.0,1.0,0.0
10000.0,1.171875,1.6335714867131576E-7,10000.0,0.9992189940643549,0.9641553428240861,0.989,0.9774147715606804,0.9979639106294735,0.718213058419244,0.9892008017648406,0.9904306220095693,0.9727520435967302,10000.0,607616.0,15.0,0.5295411451884877,0.47045885481151234,9516.93333333333,97.90627199131862,12374.933333333334,4201.895481576766,7.533333333333333,2.9728934118288257,4.266666666666667,1.4864467059144133,4.266666666666667,1.4864467059144133,3.0,1.1338934190276817,0.0,0.0,0.0,0.0,1.0,0.0
11000.0,1.296875,1.8538266886025664E-7,11000.0,0.9988714344770566,0.9558376496258584,0.995,0.9896689945865531,0.9992189940643549,0.6949152542372882,0.9950185973612087,0.9951219512195122,0.9876321115358668,11000.0,681112.0,15.0,0.620420462865627,0.37957953713437304,10492.733333333332,90.22706805346037,17227.73333333333,2488.4608974414764,11.533333333333331,1.5976172734359606,6.266666666666666,0.7988086367179803,6.266666666666666,0.7988086367179803,4.0,0.5345224838248488,0.0,0.0,0.0,0.0,1.0,0.0
