learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,AUC,sAUC,Accuracy,Kappa,Periodical holdout AUC,Pos/Neg ratio,G-Mean,Recall,KappaM,model training instances,model serialized size (bytes),ensemble size,size of class 0,size of class 1,[avg] model training instances,[err] model training instances,[avg] model serialized size (bytes),[err] model serialized size (bytes),[avg] tree size (nodes),[err] tree size (nodes),[avg] tree size (leaves),[err] tree size (leaves),[avg] active learning leaves,[err] active learning leaves,[avg] tree depth,[err] tree depth,[avg] active leaf byte size estimate,[err] active leaf byte size estimate,[avg] inactive leaf byte size estimate,[err] inactive leaf byte size estimate,[avg] byte size estimate overhead,[err] byte size estimate overhead
1000.0,0.1875,2.2554304450750352E-8,1000.0,0.9560315789473685,0.7782005655282955,0.984,0.8249452954048141,0.0,0.05263157894736842,0.8915982101939487,0.8,0.68,1000.0,464976.0,15.0,0.9861328852895577,0.013867114710442316,101.06666666666666,7.116044915407381,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2000.0,0.34375,4.134955815970898E-8,2000.0,0.9977879570902827,0.9206914291563785,0.984,0.8559700417686877,0.9560315789473685,0.05708245243128964,0.9651247696545274,0.9444444444444444,0.6923076923076923,2000.0,464976.0,15.0,0.9721344639105198,0.027865536089480215,204.40000000000003,12.585706178041816,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
3000.0,0.453125,5.450623575598002E-8,3000.0,0.9995616744037775,0.9625488513586345,0.99,0.9085271034192568,0.9977879570902827,0.0559662090813094,0.9947061565654387,1.0,0.8089171974522291,3000.0,464976.0,15.0,0.9217402266613941,0.07825977333860569,304.1333333333334,14.539928604003661,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
4000.0,0.5625,6.766291335225106E-8,4000.0,0.9979922833848356,0.9463057708229883,0.988,0.9027063840827644,0.9995616744037775,0.06496272630457935,0.9859432082257784,0.9836065573770492,0.7798165137614677,4000.0,464976.0,15.0,0.9835879592338859,0.016412040766113998,419.66666666666663,16.473644174284946,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
5000.0,0.671875,8.081959094852209E-8,5000.0,0.9995921985815602,0.9694618153472312,0.991,0.9254473161033796,0.9979922833848356,0.06382978723404255,0.9952012519661003,1.0,0.8381294964028775,5000.0,464976.0,15.0,0.9846013187550705,0.015398681244929555,534.7333333333332,15.876607530157894,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
6000.0,0.765625,9.209674317389727E-8,6000.0,0.9993026638241916,0.9589568132866573,0.989,0.9001959788052551,0.9995921985815602,0.0559662090813094,0.9941752218296861,1.0,0.8006042296072506,6000.0,464976.0,15.0,0.9755902474346014,0.024409752565398513,636.0,21.05435143350929,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
7000.0,0.859375,1.0337389539927244E-7,7000.0,0.9995214656822532,0.9720694539937226,0.997,0.9668478981567431,0.9993026638241916,0.04821802935010482,0.9984264349024167,1.0,0.9442970822281166,7000.0,464976.0,15.0,0.9712690381773877,0.028730961822612224,724.0,21.889332039668485,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
8000.0,0.953125,1.1465104762464762E-7,8000.0,0.999817701212287,0.969654287360748,0.995,0.9458335138882871,0.9995214656822532,0.04821802935010482,0.9973760122708233,1.0,0.9054373522458629,8000.0,464976.0,15.0,0.9079320532349587,0.09206794676504122,812.0666666666667,26.03971326007003,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
9000.0,1.03125,1.2404867447912692E-7,9000.0,0.9995708062404772,0.9647518203083957,0.994,0.9391542439914816,0.999817701212287,0.05152471083070452,0.9968404344402447,1.0,0.8855932203389829,9000.0,464976.0,15.0,0.9818956544564331,0.018104345543566852,908.2666666666668,25.758401310936172,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
10000.0,1.15625,1.3908487744629383E-7,10000.0,0.9986458333333333,0.9630186066860037,0.991,0.8942172073342737,0.9995708062404772,0.041666666666666664,0.9953014618697191,1.0,0.8242187499999999,10000.0,464976.0,15.0,0.9565380705097496,0.04346192949025035,987.1333333333333,27.963922335411976,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
