learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,AUC,sAUC,Accuracy,Kappa,Periodical holdout AUC,Pos/Neg ratio,G-Mean,Recall,KappaM,model training instances,model serialized size (bytes),ensemble size,[avg] model training instances,[err] model training instances,[avg] model serialized size (bytes),[err] model serialized size (bytes),[avg] tree size (nodes),[err] tree size (nodes),[avg] tree size (leaves),[err] tree size (leaves),[avg] active learning leaves,[err] active learning leaves,[avg] tree depth,[err] tree depth,[avg] active leaf byte size estimate,[err] active leaf byte size estimate,[avg] inactive leaf byte size estimate,[err] inactive leaf byte size estimate,[avg] byte size estimate overhead,[err] byte size estimate overhead
1000.0,0.125,4.555719594160716E-9,1000.0,0.9768855988216187,0.8243917358825616,0.987,0.9132037175515436,0.0,0.09529025191675794,0.9279680758424992,0.8620689655172413,0.850574712643678,1000.0,140880.0,15.0,998.6666666666667,34.21709402929367,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2000.0,0.1875,6.833579391241074E-9,2000.0,0.9998777777777778,0.946595979965885,0.996,0.9775784753363228,0.9768855988216187,0.1111111111111111,0.984338469339801,0.97,0.9572192513368983,2000.0,140880.0,15.0,1990.5333333333333,46.83079979590154,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
3000.0,0.25,9.111439188321431E-9,3000.0,0.9996860315433643,0.93087980422634,0.995,0.9737279051682465,0.9998777777777778,0.11982082866741321,0.9847770147888415,0.9719626168224299,0.9489795918367346,3000.0,140880.0,15.0,2989.4,61.491927460904456,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
4000.0,0.3125,1.2100725952121946E-8,4000.0,0.9757293161166906,0.8223648787329766,0.989,0.9230919819895403,0.9996860315433643,0.08932461873638345,0.9365320604948706,0.8780487804878049,0.8829787234042552,4000.0,184880.0,15.0,3983.5333333333333,60.407978028765406,5853.333333333333,72.29568912920507,3.0,0.0,2.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
5000.0,0.375,1.5094539978437952E-8,5000.0,0.9981003986048829,0.924658402349753,0.993,0.9626036413368664,0.9757293161166906,0.1210762331838565,0.9670497325294006,0.9351851851851852,0.9276859504132231,5000.0,185160.0,15.0,4983.866666666667,63.40331972681683,5872.0,0.0,3.0,0.0,2.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
6000.0,0.40625,1.6912235878407953E-8,6000.0,0.9998074565003698,0.9301383671383777,0.995,0.9741559327640746,0.9981003986048829,0.12485939257592801,0.977217966962824,0.954954954954955,0.9495798319327731,6000.0,224840.0,15.0,5980.666666666666,79.45948353601044,8493.333333333332,72.29568912920513,5.0,0.0,3.0,0.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
7000.0,0.453125,1.9642175175249573E-8,7000.0,0.999912779106858,0.9235552614492004,0.995,0.9680290551946391,0.9998074565003698,0.09649122807017543,0.9711754826918862,0.9431818181818182,0.9487554904831624,7000.0,225120.0,15.0,6977.400000000001,79.67684732718784,8512.0,0.0,5.0,0.0,3.0,0.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
8000.0,0.5,2.2372114472091193E-8,8000.0,0.9999626196172249,0.9291137435652517,0.997,0.9810174639331815,0.999912779106858,0.09649122807017543,0.9828067413836206,0.9659090909090909,0.9688715953307393,8000.0,225120.0,15.0,7989.533333333332,90.70979366455789,8512.0,0.0,5.0,0.0,3.0,0.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
9000.0,0.578125,2.7729806283281906E-8,9000.0,0.9992969819558702,0.8541291033925019,0.993,0.9557096578254707,0.9999626196172249,0.09769484083424808,0.9651738582874431,0.9325842696629213,0.9267441860465115,9000.0,265088.0,15.0,8997.666666666668,93.18466049935985,11152.533333333335,2.06559111797724,7.0,0.0,4.0,0.0,4.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
10000.0,0.609375,2.991595667683416E-8,10000.0,0.9990475262742042,0.9186607557802351,0.992,0.9563304475037391,0.9992969819558702,0.11482720178372352,0.9737937063620038,0.9514563106796117,0.9169262720664589,10000.0,270416.0,15.0,10008.4,100.59238823802008,11504.533333333335,930.3343382636056,7.2666666666666675,0.7037315505489968,4.133333333333333,0.35186577527449847,4.133333333333333,0.35186577527449847,2.1333333333333337,0.3518657752744984,0.0,0.0,0.0,0.0,1.0,0.0
11000.0,0.65625,3.32667776900861E-8,11000.0,0.9987784133073032,0.9155926993220186,0.993,0.9605855855855855,0.9990475262742042,0.10741971207087486,0.9868933639047537,0.979381443298969,0.9273584905660376,11000.0,276320.0,15.0,11014.466666666669,95.4641792706012,11894.933333333332,1960.5966827425145,7.533333333333334,1.4074631010979934,4.2666666666666675,0.7037315505489968,4.2666666666666675,0.7037315505489968,2.266666666666667,0.7037315505489967,0.0,0.0,0.0,0.0,1.0,0.0
12000.0,0.703125,3.6624583622647654E-8,12000.0,0.9998943215443145,0.9378402200341786,0.997,0.9823025555109842,0.9987784133073032,0.10375275938189846,0.9887583807974528,0.9787234042553191,0.9688041594454072,12000.0,276896.0,15.0,12011.333333333334,75.81148298497351,11933.333333333334,1947.5820417953666,7.533333333333334,1.4074631010979934,4.2666666666666675,0.7037315505489968,4.2666666666666675,0.7037315505489968,2.266666666666667,0.7037315505489967,0.0,0.0,0.0,0.0,1.0,0.0
13000.0,0.71875,3.776538910137282E-8,13000.0,0.9997982243744956,0.9376352383530522,0.996,0.980783273761482,0.9998943215443145,0.13378684807256236,0.9903644315169841,0.9830508474576272,0.9591194968553458,13000.0,282224.0,15.0,13006.666666666666,69.80755860288505,12285.333333333334,2016.5887273408266,7.800000000000001,1.4735767952260144,4.4,0.7367883976130073,4.4,0.7367883976130073,2.4000000000000004,0.7367883976130072,0.0,0.0,0.0,0.0,1.0,0.0
14000.0,0.734375,3.892773141463597E-8,14000.0,0.9997605822639342,0.9632293106845335,0.999,0.9940436481463832,0.9997982243744956,0.1013215859030837,0.9994491875098488,1.0,0.9897360703812317,14000.0,287552.0,15.0,13999.133333333333,80.35445286502846,12637.333333333334,2251.7399832975725,8.066666666666666,1.6676187756655838,4.533333333333333,0.833809387832792,4.533333333333333,0.833809387832792,2.5333333333333337,0.8338093878327919,0.0,0.0,0.0,0.0,1.0,0.0
15000.0,0.78125,4.241475835442542E-8,15000.0,0.9999248798076923,0.9303829259112582,0.993,0.9616244901539406,0.9997605822639342,0.11607142857142858,0.9701834927555635,0.9423076923076923,0.9284741144414168,15000.0,287552.0,15.0,14986.666666666666,91.40073981153128,12637.333333333334,2251.7399832975725,8.066666666666666,1.6676187756655838,4.533333333333333,0.833809387832792,4.533333333333333,0.833809387832792,2.5333333333333337,0.8338093878327919,0.0,0.0,0.0,0.0,1.0,0.0
16000.0,0.84375,4.7112892692287755E-8,16000.0,0.9999871423979427,0.953689442896898,0.998,0.9871423979427837,0.9999248798076923,0.09289617486338798,0.9935568708155769,0.9882352941176471,0.9793947198969736,16000.0,290568.0,15.0,15983.066666666668,71.06482620684808,12836.266666666666,2481.1626153498128,8.333333333333334,2.0930724738891344,4.666666666666667,1.0465362369445672,4.666666666666667,1.0465362369445672,2.666666666666667,1.0465362369445672,0.0,0.0,0.0,0.0,1.0,0.0
17000.0,0.90625,5.2039718462361223E-8,17000.0,0.999845813279882,0.9421101971165811,0.998,0.9888890123443073,0.9999871423979427,0.11234705228031146,0.9900495037128094,0.9801980198019802,0.9794437726723095,17000.0,304712.0,15.0,16985.866666666665,73.49622601260072,13771.733333333334,2862.895024937087,8.866666666666665,2.0655911179772892,4.933333333333333,1.0327955589886446,4.933333333333333,1.0327955589886446,2.8666666666666667,0.990430401872025,0.0,0.0,0.0,0.0,1.0,0.0
18000.0,0.953125,5.6029562579674845E-8,18000.0,0.9999189290527873,0.9156754364823975,0.997,0.9847390375419677,0.999845813279882,0.12485939257592801,0.9903925435534181,0.9819819819819819,0.9694050991501416,18000.0,329016.0,15.0,17975.0,91.81347551266258,15377.6,1867.3328879141275,10.066666666666666,1.2798809468443688,5.533333333333333,0.6399404734221844,5.533333333333333,0.6399404734221844,3.3333333333333335,0.6172133998483676,0.0,0.0,0.0,0.0,1.0,0.0
19000.0,1.0,6.03702048667603E-8,19000.0,0.9930240220760098,0.9003439096278582,0.991,0.9530986179726095,0.9999189290527873,0.122334455667789,0.9704496198712453,0.944954128440367,0.9087513340448238,19000.0,357944.0,15.0,18973.933333333334,90.60626489429536,17290.13333333333,1524.8028381525578,11.4,1.1212238211627765,6.2,0.5606119105813883,6.2,0.5606119105813883,3.9999999999999996,0.3779644730092272,0.0,0.0,0.0,0.0,1.0,0.0
20000.0,1.03125,6.330852758967213E-8,20000.0,0.9921797942792729,0.88792577076696,0.994,0.9637365825355382,0.9930240220760098,0.10375275938189846,0.9675588936937934,0.9361702127659575,0.9390243902439024,20000.0,363456.0,15.0,19965.133333333335,89.14904587797005,17655.999999999996,1301.364558563708,11.533333333333335,0.9154754164341271,6.2666666666666675,0.45773770821706355,6.2666666666666675,0.45773770821706355,4.066666666666666,0.25819888974716115,0.0,0.0,0.0,0.0,1.0,0.0
21000.0,1.078125,6.77621897516979E-8,21000.0,0.9996860315433643,0.930040641849083,0.994,0.968342742573735,0.9921797942792729,0.11982082866741321,0.9800310738412029,0.9626168224299065,0.9392771084337349,21000.0,367264.0,15.0,20965.4,92.76683520680109,17908.266666666666,1406.7490113564609,11.666666666666668,0.9759000729485333,6.333333333333334,0.48795003647426666,6.333333333333334,0.48795003647426666,4.066666666666666,0.25819888974716115,0.0,0.0,0.0,0.0,1.0,0.0
22000.0,1.109375,7.07721078975333E-8,22000.0,0.9993239182692307,0.9238223588728398,0.992,0.9567062083297255,0.9996860315433643,0.11607142857142858,0.9740307153668317,0.9519230769230769,0.9192290041303349,22000.0,372312.0,15.0,21961.266666666663,90.61966568865554,18241.6,1416.6526341041706,11.933333333333332,1.0327955589886444,6.466666666666666,0.5163977794943222,6.466666666666666,0.5163977794943222,4.066666666666666,0.25819888974716115,0.0,0.0,0.0,0.0,1.0,0.0
23000.0,1.15625,7.53261782746348E-8,23000.0,0.999788643088629,0.9340024625835598,0.996,0.9765158987365553,0.9993239182692307,0.10375275938189846,0.9882119544607231,0.9787234042553191,0.959524857017158,23000.0,375544.0,15.0,22979.600000000002,100.83706801426928,18455.466666666664,1450.8368947742179,12.066666666666666,1.0327955589886444,6.533333333333333,0.5163977794943222,6.533333333333333,0.5163977794943222,4.066666666666666,0.25819888974716115,0.0,0.0,0.0,0.0,1.0,0.0
24000.0,1.1875,7.838828928975593E-8,24000.0,0.9995251361276434,0.9203817842536619,0.994,0.967807013778598,0.999788643088629,0.1185682326621924,0.975584124050339,0.9528301886792453,0.9394703656998739,24000.0,378768.0,15.0,23965.666666666668,93.90547425596728,18668.800000000003,1791.11406671937,12.2,1.2649110640673518,6.6,0.6324555320336759,6.6,0.6324555320336759,4.133333333333333,0.3518657752744985,0.0,0.0,0.0,0.0,1.0,0.0
25000.0,1.234375,8.298145581243765E-8,25000.0,0.999970069140286,0.9375176835846819,0.995,0.9745666151216733,0.9995251361276434,0.1273957158962796,0.9776258038684231,0.9557522123893806,0.9498394863563402,25000.0,378768.0,15.0,24959.933333333338,107.97385044978466,18668.800000000003,1791.11406671937,12.2,1.2649110640673518,6.6,0.6324555320336759,6.6,0.6324555320336759,4.133333333333333,0.3518657752744985,0.0,0.0,0.0,0.0,1.0,0.0
26000.0,1.28125,8.757811479477417E-8,26000.0,0.9996975865077057,0.912555617485707,0.991,0.946396664681358,0.999970069140286,0.10497237569060773,0.961388934176286,0.9263157894736842,0.9095477386934673,26000.0,379056.0,15.0,25947.13333333333,102.43176590621941,18688.000000000004,1803.8587211071394,12.2,1.2649110640673518,6.6,0.6324555320336759,6.6,0.6324555320336759,4.133333333333333,0.3518657752744985,0.0,0.0,0.0,0.0,1.0,0.0
27000.0,1.34375,9.375950968306924E-8,27000.0,0.9992855825958702,0.9355346609080541,0.994,0.9654314159292035,0.9996975865077057,0.10619469026548672,0.9826164672350123,0.96875,0.9396198285501304,27000.0,382304.0,15.0,26955.533333333333,101.92284663737873,18902.933333333338,2065.9633334689406,12.333333333333334,1.4474937289114918,6.666666666666667,0.7237468644557459,6.666666666666667,0.7237468644557459,4.133333333333333,0.3518657752744985,0.0,0.0,0.0,0.0,1.0,0.0
28000.0,1.375,9.685020712721677E-8,28000.0,0.9999883687118348,0.9612338758943455,0.999,0.9942116230608937,0.9992855825958702,0.10497237569060773,0.9994473611072818,1.0,0.9899208063354932,28000.0,382304.0,15.0,27953.86666666666,88.65733928741355,18902.933333333338,2065.9633334689406,12.333333333333334,1.4474937289114918,6.666666666666667,0.7237468644557459,6.666666666666667,0.7237468644557459,4.133333333333333,0.3518657752744985,0.0,0.0,0.0,0.0,1.0,0.0
29000.0,1.421875,1.0148625329343808E-7,29000.0,0.9994998546088979,0.9399040444767546,0.994,0.9654318142536152,0.9999883687118348,0.10497237569060773,0.9872287117095063,0.9789473684210527,0.9394361294813783,29000.0,382304.0,15.0,28955.799999999996,92.23432890508452,18902.933333333338,2065.9633334689406,12.333333333333334,1.4474937289114918,6.666666666666667,0.7237468644557459,6.666666666666667,0.7237468644557459,4.133333333333333,0.3518657752744985,0.0,0.0,0.0,0.0,1.0,0.0
30000.0,1.4375,1.0308094917693071E-7,30000.0,0.9999439455599278,0.9568291128217301,0.998,0.9886873988936276,0.9994998546088979,0.10987791342952276,0.9898474527915803,0.9797979797979798,0.9798115746971736,30000.0,394512.0,15.0,29946.13333333333,107.79667810059647,19708.8,2888.070913256806,12.999999999999998,2.1380899352993947,6.999999999999999,1.0690449676496974,6.999999999999999,1.0690449676496974,4.266666666666667,0.5936168397046637,0.0,0.0,0.0,0.0,1.0,0.0
31000.0,1.484375,1.078650368274086E-7,31000.0,0.999972189776962,0.919184588251788,0.996,0.9715213305234379,0.9999439455599278,0.08459869848156182,0.9740215340114143,0.9487179487179487,0.959344262295082,31000.0,394512.0,15.0,30952.866666666665,110.14851446159003,19708.8,2888.070913256806,12.999999999999998,2.1380899352993947,6.999999999999999,1.0690449676496974,6.999999999999999,1.0690449676496974,4.266666666666667,0.5936168397046637,0.0,0.0,0.0,0.0,1.0,0.0
32000.0,1.515625,1.1105442859439386E-7,32000.0,0.9996346656619972,0.9314722772764803,0.994,0.9654318142536152,0.999972189776962,0.10741971207087486,0.9780794347895763,0.9587628865979382,0.9389895138226881,32000.0,394512.0,15.0,31953.333333333332,118.13349994613543,19708.8,2888.070913256806,12.999999999999998,2.1380899352993947,6.999999999999999,1.0690449676496974,6.999999999999999,1.0690449676496974,4.266666666666667,0.5936168397046637,0.0,0.0,0.0,0.0,1.0,0.0
33000.0,1.5625,1.1587431395633353E-7,33000.0,0.9996359964304166,0.9439983789443224,0.996,0.9762898330804248,0.9996346656619972,0.10375275938189846,0.9833700116311723,0.9680851063829787,0.9592718296821968,33000.0,397464.0,15.0,32945.73333333333,129.49598265509798,19903.999999999996,2827.421642213475,13.133333333333331,2.065591117977289,7.0666666666666655,1.0327955589886444,7.0666666666666655,1.0327955589886444,4.333333333333333,0.6172133998483678,0.0,0.0,0.0,0.0,1.0,0.0
34000.0,1.59375,1.1908970514519347E-7,34000.0,0.999831159512051,0.9297648479081166,0.993,0.9625996452309205,0.9996359964304166,0.1185682326621924,0.9750377313308901,0.9528301886792453,0.9288915446668659,34000.0,397728.0,15.0,33936.2,134.54590294765543,19921.06666666667,2824.9886843431195,13.266666666666666,2.250925735484551,7.133333333333333,1.1254628677422756,7.133333333333333,1.1254628677422756,4.333333333333333,0.6172133998483678,0.0,0.0,0.0,0.0,1.0,0.0
35000.0,1.640625,1.2422585213142964E-7,35000.0,0.9999857598541809,0.9293043549913308,0.998,0.9857598541809068,0.999831159512051,0.08225108225108226,0.992861568561663,0.9868421052631579,0.9795501022494887,35000.0,423544.0,15.0,34930.666666666664,138.70764046659264,21626.666666666664,2449.1718328175066,14.466666666666667,1.7674302033770735,7.733333333333333,0.8837151016885367,7.733333333333333,0.8837151016885367,4.333333333333333,0.6172133998483678,0.0,0.0,0.0,0.0,1.0,0.0
36000.0,1.671875,1.27656741016027E-7,36000.0,0.9993137539982553,0.9061577067412002,0.992,0.9521216111077861,0.9999857598541809,0.10497237569060773,0.9619211174078411,0.9263157894736842,0.9181353041500853,36000.0,424384.0,15.0,35931.799999999996,140.85666473404822,21682.666666666664,2396.0055648238103,14.466666666666667,1.7674302033770735,7.733333333333333,0.8837151016885367,7.733333333333333,0.8837151016885367,4.333333333333333,0.6172133998483678,0.0,0.0,0.0,0.0,1.0,0.0
37000.0,1.703125,1.310898935318821E-7,37000.0,0.9998515829251864,0.927731993370322,0.994,0.9660621966808828,0.9993137539982553,0.10741971207087486,0.9874427062038517,0.979381443298969,0.9385892116182571,37000.0,424664.0,15.0,36926.73333333332,130.18364318293132,21701.333333333336,2402.2744777952976,14.466666666666667,1.7674302033770735,7.733333333333333,0.8837151016885367,7.733333333333333,0.8837151016885367,4.333333333333333,0.6172133998483678,0.0,0.0,0.0,0.0,1.0,0.0
38000.0,1.75,1.3627648715757662E-7,38000.0,0.9997206453093355,0.9201896265160745,0.994,0.9698362106236866,0.9998515829251864,0.1273957158962796,0.9810335336295167,0.9646017699115044,0.9388412017167381,38000.0,427704.0,15.0,37925.4,145.65409120829602,21902.399999999998,2725.686828253438,14.6,2.02837021134844,7.8,1.01418510567422,7.8,1.01418510567422,4.400000000000001,0.6324555320336758,0.0,0.0,0.0,0.0,1.0,0.0
