learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,AUC,sAUC,Accuracy,Kappa,Periodical holdout AUC,Pos/Neg ratio,G-Mean,Recall,KappaM,model training instances,model serialized size (bytes),ensemble size,size of class 0,size of class 1,[avg] model training instances,[err] model training instances,[avg] model serialized size (bytes),[err] model serialized size (bytes),[avg] tree size (nodes),[err] tree size (nodes),[avg] tree size (leaves),[err] tree size (leaves),[avg] active learning leaves,[err] active learning leaves,[avg] tree depth,[err] tree depth,[avg] active leaf byte size estimate,[err] active leaf byte size estimate,[avg] inactive leaf byte size estimate,[err] inactive leaf byte size estimate,[avg] byte size estimate overhead,[err] byte size estimate overhead
1000.0,0.109375,3.9896500917772455E-9,1000.0,0.9437333333333333,0.7228921786469057,0.898,0.5952380952380951,0.0,0.1111111111111111,0.9163696488499241,0.94,-0.02000000000000002,1000.0,141000.0,15.0,0.9933951931711118,0.006604806828888251,199.99999999999997,11.557310611531928,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2000.0,0.171875,6.269450144221386E-9,2000.0,0.9733232029040564,0.7652411724524689,0.901,0.6233048719236566,0.9437333333333333,0.1185682326621924,0.9313187916363864,0.9716981132075472,0.038834951456310725,2000.0,141000.0,15.0,0.9679450282365337,0.032054971763466195,399.06666666666666,21.032174898292887,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
3000.0,0.21875,7.979300183554491E-9,3000.0,0.9745293466223699,0.7788357859411116,0.889,0.5805749523895892,0.9733232029040564,0.10741971207087486,0.9365235778986736,1.0,-0.09900990099009913,3000.0,141000.0,15.0,0.9304409220314146,0.06955907796858543,588.6666666666666,25.078923042116067,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
4000.0,0.265625,9.689150222887596E-9,4000.0,0.9644174041297935,0.754590750714401,0.891,0.5728438411135841,0.9745293466223699,0.10619469026548672,0.9203382490287844,0.9583333333333334,-0.09273182957393464,4000.0,141000.0,15.0,0.9549727917151165,0.04502720828488341,769.0000000000001,24.871096247882367,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
5000.0,0.296875,1.0829050249109667E-8,5000.0,0.9735607373402649,0.788866238755936,0.905,0.647772438749481,0.9644174041297935,0.12485939257592801,0.9413855701669761,0.990990990990991,0.06862745098039223,5000.0,141000.0,15.0,0.8883902509740573,0.11160974902594256,986.6,30.049483000068882,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
6000.0,0.3125,1.1399000262220701E-8,6000.0,0.965523598820059,0.7664805230787273,0.895,0.5858968291528633,0.9735607373402649,0.10619469026548672,0.9270620999523935,0.96875,-0.039603960396039646,6000.0,141000.0,15.0,0.9480894713075527,0.05191052869244724,1173.7333333333336,39.035636953698486,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
7000.0,0.34375,1.2538900288442772E-8,7000.0,0.9747095588679747,0.7838507912071178,0.894,0.5740816638138174,0.965523598820059,0.1001100110011001,0.9306584088944053,0.978021978021978,-0.0645624103299859,7000.0,141000.0,15.0,0.9920695458967705,0.00793045410322931,1348.4666666666667,39.83692950493236,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
8000.0,0.375,1.3678800314664842E-8,8000.0,0.9729824106314414,0.7855522043008473,0.902,0.6433328723350051,0.9747095588679747,0.1273957158962796,0.939553522956529,0.9911504424778761,0.03209876543209853,8000.0,141000.0,15.0,0.9385825049293476,0.06141749507065248,1568.6,41.05884279212664,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
9000.0,0.40625,1.4818700340886913E-8,9000.0,0.9693822311188327,0.7647081643363541,0.879,0.5324719483168989,0.9729824106314414,0.09529025191675794,0.9313806308475995,1.0,-0.2140468227424747,9000.0,141000.0,15.0,0.9395898925908549,0.06041010740914495,1740.7333333333333,37.409828094970415,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
10000.0,0.4375,1.5958600367108982E-8,10000.0,0.9765079365079365,0.7887366315598301,0.902,0.5903695034275208,0.9693822311188327,0.0989010989010989,0.9304573691206469,0.9666666666666667,0.007092198581560627,10000.0,141000.0,15.0,0.8063163198566692,0.19368368014333084,1917.8000000000002,40.94979504571075,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
11000.0,0.46875,1.709850039333105E-8,11000.0,0.9705297238258699,0.7786553863102883,0.904,0.6556869046252728,0.9765079365079365,0.13122171945701358,0.9441412579334338,1.0,0.04261106074342745,11000.0,141000.0,15.0,0.835927470614509,0.16407252938549105,2149.2000000000003,43.592594390725196,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
