learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,AUC,sAUC,Accuracy,Kappa,Periodical holdout AUC,Pos/Neg ratio,G-Mean,Recall,KappaM,model training instances,model serialized size (bytes),ensemble size,[avg] model training instances,[err] model training instances,[avg] model serialized size (bytes),[err] model serialized size (bytes),[avg] tree size (nodes),[err] tree size (nodes),[avg] tree size (leaves),[err] tree size (leaves),[avg] active learning leaves,[err] active learning leaves,[avg] tree depth,[err] tree depth,[avg] active leaf byte size estimate,[err] active leaf byte size estimate,[avg] inactive leaf byte size estimate,[err] inactive leaf byte size estimate,[avg] byte size estimate overhead,[err] byte size estimate overhead
1000.0,0.1875,2.3242707053820292E-8,1000.0,0.9913191456815618,0.9219262048481683,0.982,0.9569781448976079,0.0,0.42450142450142453,0.9784504798882413,0.9697986577181208,0.9395973154362416,1000.0,479168.0,15.0,1405.9333333333334,39.77340580744641,3882.133333333333,2537.1416387813465,1.6666666666666665,1.7994708216848747,1.3333333333333335,0.8997354108424372,1.3333333333333335,0.8997354108424372,0.2666666666666667,0.7037315505489967,0.0,0.0,0.0,0.0,1.0,0.0
2000.0,0.28125,3.487085147450368E-8,2000.0,0.9996152691239396,0.9579793397312648,0.992,0.9812326401921777,0.9913191456815618,0.44508670520231214,0.9906097665738053,0.987012987012987,0.9735973597359736,2000.0,479448.0,15.0,2783.7999999999997,53.87843459386803,3900.8,2597.1039695344175,1.6666666666666665,1.7994708216848747,1.3333333333333335,0.8997354108424372,1.3333333333333335,0.8997354108424372,0.2666666666666667,0.7037315505489967,0.0,0.0,0.0,0.0,1.0,0.0
3000.0,0.375,4.8151899439593157E-8,3000.0,0.9984601909928237,0.924348546457755,0.991,0.9788293077654099,0.9996152691239396,0.4409221902017291,0.9898573996011157,0.9869281045751634,0.9703947368421052,3000.0,547600.0,15.0,4167.933333333333,73.53373051742666,8404.266666666668,1172.2890591041264,5.0,0.7559289460184544,3.0,0.3779644730092272,3.0,0.3779644730092272,1.9333333333333333,0.2581988897471611,0.0,0.0,0.0,0.0,1.0,0.0
4000.0,0.46875,6.22503769894441E-8,4000.0,0.9987619266142757,0.9421080912444367,0.989,0.9737848066272009,0.9984601909928237,0.42450142450142453,0.9883013290530239,0.9865771812080537,0.9636363636363636,4000.0,581304.0,15.0,5599.733333333333,75.99479932080553,10634.133333333333,1979.3435371595394,6.6,1.7237832147426693,3.8,0.8618916073713346,3.8,0.8618916073713346,2.5999999999999996,0.7367883976130072,0.0,0.0,0.0,0.0,1.0,0.0
5000.0,0.5625,7.687369361519814E-8,5000.0,0.997446307283093,0.9418198343721462,0.991,0.9782984017978569,0.9987619266142757,0.4144271570014144,0.9896325252388851,0.9863481228668942,0.9700598802395209,5000.0,602944.0,15.0,6968.400000000001,83.48293238740497,12065.066666666668,2762.4103208886945,7.4,2.02837021134844,4.199999999999999,1.01418510567422,4.199999999999999,1.01418510567422,2.933333333333333,0.7988086367179803,0.0,0.0,0.0,0.0,1.0,0.0
6000.0,0.625,8.683806906143825E-8,6000.0,0.999265626226843,0.9518263108699591,0.992,0.9815874389508522,0.997446307283093,0.46412884333821375,0.9924522674218124,0.9936908517350158,0.9736263736263736,6000.0,616272.0,15.0,8384.999999999998,97.48553006179215,12945.6,3054.3169636247176,8.066666666666666,2.250925735484551,4.533333333333333,1.1254628677422756,4.533333333333333,1.1254628677422756,3.2,0.8618916073713346,0.0,0.0,0.0,0.0,1.0,0.0
7000.0,0.703125,9.977035612488787E-8,7000.0,0.999659332583865,0.9586437708587382,0.993,0.9830189411582052,0.999265626226843,0.40646976090014064,0.9930236164081494,0.9930795847750865,0.9767662399241347,7000.0,639864.0,15.0,9790.866666666667,101.98099729618158,14505.06666666667,2015.927133981734,9.266666666666667,1.2798809468443688,5.133333333333334,0.6399404734221844,5.133333333333334,0.6399404734221844,3.8,0.4140393356054125,0.0,0.0,0.0,0.0,1.0,0.0
8000.0,0.78125,1.1323217121470306E-7,8000.0,0.999706695516288,0.9556655232585322,0.99,0.9759586488760669,0.999659332583865,0.41843971631205673,0.9879670316522139,0.9830508474576272,0.9667221297836938,8000.0,666064.0,15.0,11232.133333333335,114.55620371469966,16235.733333333334,1862.966891304094,10.600000000000001,1.3522468075656264,5.800000000000001,0.6761234037828132,5.800000000000001,0.6761234037828132,4.266666666666667,0.45773770821706333,0.0,0.0,0.0,0.0,1.0,0.0
9000.0,0.875,1.307433639239106E-7,9000.0,0.997759929811134,0.9487112990165262,0.989,0.9745346791369571,0.999706695516288,0.4513788098693759,0.9911192894635034,0.9967845659163987,0.9635359116022099,9000.0,722016.0,15.0,12678.933333333334,117.177805472018,19932.8,3347.2080305831005,13.266666666666667,2.374467358818655,7.133333333333334,1.1872336794093274,7.133333333333334,1.1872336794093274,4.6,0.7367883976130074,0.0,0.0,0.0,0.0,1.0,0.0
10000.0,0.96875,1.4921595316587223E-7,10000.0,0.9988830958174024,0.9487965864692809,0.991,0.9792339640055376,0.997759929811134,0.45985401459854014,0.991714020244371,0.9936507936507937,0.9702970297029703,10000.0,761656.0,15.0,14048.133333333333,122.41549077201101,22554.666666666668,3685.313761921707,15.0,2.6186146828319083,8.0,1.3093073414159542,8.0,1.3093073414159542,5.133333333333333,0.833809387832792,0.0,0.0,0.0,0.0,1.0,0.0
