learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,AUC,sAUC,Accuracy,Kappa,Periodical holdout AUC,Pos/Neg ratio,G-Mean,Recall,KappaM,model training instances,model serialized size (bytes),ensemble size,[avg] model training instances,[err] model training instances,[avg] model serialized size (bytes),[err] model serialized size (bytes),[avg] tree size (nodes),[err] tree size (nodes),[avg] tree size (leaves),[err] tree size (leaves),[avg] active learning leaves,[err] active learning leaves,[avg] tree depth,[err] tree depth,[avg] active leaf byte size estimate,[err] active leaf byte size estimate,[avg] inactive leaf byte size estimate,[err] inactive leaf byte size estimate,[avg] byte size estimate overhead,[err] byte size estimate overhead
1000.0,0.171875,3.6176772684686715E-8,1000.0,0.8488775510204082,0.5215179116977473,0.782,0.1018457481872119,0.0,0.02040816326530612,0.8145676203749234,0.85,-9.89999999999999,1000.0,813616.0,15.0,2536.666666666666,44.840457922133766,4742.933333333333,2635.266521264071,2.333333333333333,1.9518001458970664,1.6666666666666665,0.9759000729485332,1.6666666666666665,0.9759000729485332,0.6666666666666667,0.9759000729485332,0.0,0.0,0.0,0.0,1.0,0.0
2000.0,0.328125,7.249770634290245E-8,2000.0,0.9873169863379467,0.6587799212896078,0.948,0.43869950994149476,0.8488775510204082,0.02354145342886387,0.9521505747118127,0.9565217391304348,-1.418604651162797,2000.0,898544.0,15.0,4958.733333333334,76.99022819874774,10355.2,1601.1932693195677,6.466666666666667,1.1872336794093272,3.7333333333333334,0.5936168397046636,3.7333333333333334,0.5936168397046636,2.6666666666666665,0.4879500364742666,0.0,0.0,0.0,0.0,1.0,0.0
3000.0,0.4375,1.0071296451820267E-7,3000.0,0.9689409368635438,0.6342470854144288,0.945,0.3492356476880114,0.9873169863379467,0.018329938900203666,0.9170137588878317,0.8888888888888888,-1.7049180327868902,3000.0,997168.0,15.0,7313.4,88.01444686608458,16872.000000000004,2699.314622005265,11.399999999999999,1.8822478962286406,6.199999999999999,0.9411239481143203,6.199999999999999,0.9411239481143203,3.5999999999999996,0.6324555320336759,0.0,0.0,0.0,0.0,1.0,0.0
4000.0,0.5625,1.339919658170806E-7,4000.0,0.971738387978142,0.7136625331051601,0.93,0.36177972283005083,0.9689409368635438,0.02459016393442623,0.9234720063153443,0.9166666666666666,-2.2941176470588225,4000.0,1029112.0,15.0,9844.533333333333,108.7735962359214,18985.066666666666,3260.489522113133,13.133333333333331,2.4455985731416314,7.0666666666666655,1.2227992865708157,7.0666666666666655,1.2227992865708157,3.9333333333333336,0.5936168397046636,0.0,0.0,0.0,0.0,1.0,0.0
5000.0,0.6875,1.6959021902746623E-7,5000.0,0.9841193197059928,0.7937722088453871,0.964,0.4993742177722158,0.971738387978142,0.019367991845056064,0.9814798787003114,1.0,-0.730769230769229,5000.0,1100832.0,15.0,11947.199999999999,111.93314331076628,23725.866666666665,3982.631396212213,16.06666666666667,3.0110906108363236,8.533333333333331,1.5055453054181622,8.533333333333331,1.5055453054181622,4.6000000000000005,0.50709255283711,0.0,0.0,0.0,0.0,1.0,0.0
6000.0,0.765625,1.9240616691402261E-7,6000.0,0.993933265925177,0.8411001955837759,0.976,0.4693787309307989,0.9841193197059928,0.011122345803842264,0.9877920143940767,1.0,-0.25217391304347947,6000.0,1128888.0,15.0,14128.466666666667,101.53455897706296,25577.600000000002,3887.1500540700945,17.800000000000004,3.0047581314594067,9.400000000000002,1.5023790657297034,9.400000000000002,1.5023790657297034,4.799999999999999,0.4140393356054126,0.0,0.0,0.0,0.0,1.0,0.0
7000.0,0.859375,2.2111690163405405E-7,7000.0,0.9910775273224044,0.8079951492301628,0.973,0.6178235760389542,0.993933265925177,0.02459016393442623,0.9658177683955881,0.9583333333333334,-0.35971223021582516,7000.0,1183792.0,15.0,17070.866666666665,135.75443516388904,29207.466666666667,4240.0889119159265,20.333333333333332,3.265986323710904,10.666666666666666,1.632993161855452,10.666666666666666,1.632993161855452,4.933333333333334,0.4577377082170634,0.0,0.0,0.0,0.0,1.0,0.0
8000.0,0.953125,2.5065476721566583E-7,8000.0,0.9897131266299624,0.7995628812081872,0.965,0.4135781784062721,0.9910775273224044,0.014198782961460446,0.9468641529479986,0.9285714285714286,-0.8300653594771308,8000.0,1217896.0,15.0,19128.466666666664,132.16216589946458,31459.73333333333,5378.268115649267,22.46666666666667,4.2403953095144775,11.733333333333334,2.1201976547572388,11.733333333333334,2.1201976547572388,5.2,0.560611910581388,0.0,0.0,0.0,0.0,1.0,0.0
9000.0,1.078125,2.9170384449470374E-7,9000.0,0.9971934551373803,0.8643652010361615,0.976,0.7432770682241194,0.9897131266299624,0.03842159916926272,0.9874603190103072,1.0,-0.13684210526316054,9000.0,1269392.0,15.0,22014.86666666667,136.7107826590072,34863.46666666666,5351.20341427537,25.0,3.779644730092273,13.0,1.8898223650461365,13.0,1.8898223650461365,5.733333333333333,0.5936168397046637,0.0,0.0,0.0,0.0,1.0,0.0
10000.0,1.140625,3.127983008097443E-7,10000.0,0.9944740853658537,0.8694041849055612,0.976,0.5614035087719302,0.9971934551373803,0.016260162601626018,0.9877295966495896,1.0,-0.16504854368932415,10000.0,1304640.0,15.0,23556.399999999994,132.98270564249918,37195.2,5243.007904410815,26.066666666666666,4.0614330100640705,13.533333333333333,2.0307165050320353,13.533333333333333,2.0307165050320353,5.866666666666667,0.6399404734221844,0.0,0.0,0.0,0.0,1.0,0.0
