learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,AUC,sAUC,Accuracy,Kappa,Periodical holdout AUC,Pos/Neg ratio,G-Mean,Recall,KappaM,model training instances,model serialized size (bytes),ensemble size,[avg] model training instances,[err] model training instances,[avg] model serialized size (bytes),[err] model serialized size (bytes),[avg] tree size (nodes),[err] tree size (nodes),[avg] tree size (leaves),[err] tree size (leaves),[avg] active learning leaves,[err] active learning leaves,[avg] tree depth,[err] tree depth,[avg] active leaf byte size estimate,[err] active leaf byte size estimate,[avg] inactive leaf byte size estimate,[err] inactive leaf byte size estimate,[avg] byte size estimate overhead,[err] byte size estimate overhead
1000.0,0.125,4.555719594160716E-9,1000.0,0.9398842105263158,0.5920432913550282,0.982,0.7766749379652603,0.0,0.05263157894736842,0.8119761469143627,0.66,0.64,1000.0,140880.0,15.0,998.6666666666667,34.21709402929367,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2000.0,0.171875,6.2641144419709846E-9,2000.0,0.9977488058883408,0.7291179070377214,0.986,0.8498627316403567,0.9398842105263158,0.05708245243128964,0.8809843513344706,0.7777777777777778,0.7307692307692307,2000.0,140880.0,15.0,1990.5333333333333,46.83079979590154,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
3000.0,0.234375,8.541974239051342E-9,3000.0,0.9995616744037775,0.8210957760485443,0.992,0.9173604941842448,0.9977488058883408,0.0559662090813094,0.9407016567971349,0.8867924528301887,0.8471337579617834,3000.0,140880.0,15.0,2989.4,61.491927460904456,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
4000.0,0.3125,1.2359588355239895E-8,4000.0,0.9974336144136594,0.6470842250231497,0.985,0.8593609360936095,0.9995616744037775,0.06496272630457935,0.89482529185213,0.8032786885245902,0.7247706422018346,4000.0,188888.0,15.0,3983.5333333333333,60.407978028765406,6115.733333333333,1092.519464793365,3.4,0.8280786712108251,2.2,0.41403933560541256,2.2,0.41403933560541256,1.2,0.41403933560541256,0.0,0.0,0.0,0.0,1.0,0.0
5000.0,0.34375,1.3893618921024932E-8,5000.0,0.9997872340425532,0.8300303471239119,0.993,0.9354243542435424,0.9974336144136594,0.06382978723404255,0.9481785449963996,0.9,0.8741007194244603,5000.0,189752.0,15.0,4983.866666666667,63.40331972681683,6173.333333333334,1211.7620385600624,3.4,0.8280786712108251,2.2,0.41403933560541256,2.2,0.41403933560541256,1.2,0.41403933560541256,0.0,0.0,0.0,0.0,1.0,0.0
6000.0,0.40625,1.7031399895333582E-8,6000.0,0.9991432726982925,0.7890442771536164,0.99,0.8947567829253404,0.9997872340425532,0.0559662090813094,0.9204691486449833,0.8490566037735849,0.8187311178247734,6000.0,194064.0,15.0,5980.666666666666,79.45948353601044,6458.133333333333,1288.1862036359864,3.8000000000000003,1.2649110640673518,2.4000000000000004,0.6324555320336759,2.4000000000000004,0.6324555320336759,1.3333333333333335,0.48795003647426655,0.0,0.0,0.0,0.0,1.0,0.0
7000.0,0.453125,1.9655304236544503E-8,7000.0,0.9995214656822532,0.8195049479776189,0.993,0.9158936896236842,0.9991432726982925,0.04821802935010482,0.9320159459219242,0.8695652173913043,0.8700265251989387,7000.0,216376.0,15.0,6977.400000000001,79.67684732718784,7932.266666666667,1739.314457179144,4.733333333333333,1.2798809468443688,2.8666666666666667,0.6399404734221844,2.8666666666666667,0.6399404734221844,1.7333333333333332,0.45773770821706344,0.0,0.0,0.0,0.0,1.0,0.0
8000.0,0.5,2.2796092606667014E-8,8000.0,0.9823625922887613,0.7144339259986817,0.991,0.8869289914066034,0.9995214656822532,0.04821802935010482,0.8968544062928813,0.8043478260869565,0.8297872340425531,8000.0,259000.0,15.0,7989.533333333332,90.70979366455789,10749.866666666665,920.3848470431631,6.7333333333333325,0.7037315505489968,3.8666666666666663,0.3518657752744984,3.8666666666666663,0.3518657752744984,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
9000.0,0.546875,2.6037386204633446E-8,9000.0,0.9996995643683341,0.7790193581805581,0.993,0.9194328069610055,0.9823625922887613,0.05152471083070452,0.9258200997725514,0.8571428571428571,0.8665254237288134,9000.0,267288.0,15.0,8997.666666666668,93.18466049935985,11297.599999999997,1225.5497192222413,7.133333333333334,0.9154754164341271,4.066666666666666,0.45773770821706344,4.066666666666666,0.45773770821706344,2.133333333333334,0.3518657752744985,0.0,0.0,0.0,0.0,1.0,0.0
10000.0,0.59375,2.927867980259988E-8,10000.0,0.9987239583333334,0.7935814865315834,0.994,0.9199573105656351,0.9996995643683341,0.041666666666666664,0.9476945710512433,0.9,0.8828125,10000.0,267288.0,15.0,10008.4,100.59238823802008,11297.599999999997,1225.5497192222413,7.133333333333334,0.9154754164341271,4.066666666666666,0.45773770821706344,4.066666666666666,0.45773770821706344,2.133333333333334,0.3518657752744985,0.0,0.0,0.0,0.0,1.0,0.0
