learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,AUC,sAUC,Accuracy,Kappa,Periodical holdout AUC,Pos/Neg ratio,G-Mean,Recall,KappaM,model training instances,model serialized size (bytes),ensemble size,[avg] model training instances,[err] model training instances,[avg] model serialized size (bytes),[err] model serialized size (bytes),[avg] tree size (nodes),[err] tree size (nodes),[avg] tree size (leaves),[err] tree size (leaves),[avg] active learning leaves,[err] active learning leaves,[avg] tree depth,[err] tree depth,[avg] active leaf byte size estimate,[err] active leaf byte size estimate,[avg] inactive leaf byte size estimate,[err] inactive leaf byte size estimate,[avg] byte size estimate overhead,[err] byte size estimate overhead
1000.0,0.265625,3.8336600280470316E-8,1000.0,0.5157612340710932,0.11661866402604348,0.99,0.16163648558014249,0.0,0.006036217303822937,0.407220214567311,0.16666666666666666,-0.6666666666666666,1000.0,557888.0,15.0,5724.8,87.10519092289671,9082.133333333335,1278.758207160741,5.666666666666667,0.9759000729485331,3.3333333333333335,0.48795003647426655,3.3333333333333335,0.48795003647426655,2.066666666666667,0.2581988897471611,0.0,0.0,0.0,0.0,1.0,0.0
2000.0,0.5,8.144373876146144E-8,2000.0,0.3900174648405184,0.14166115813756502,0.673,-0.0033260103830437455,0.5157612340710932,0.011122345803842264,0.42983674650073656,0.2727272727272727,-37.47058823529433,2000.0,710952.0,15.0,12545.266666666666,158.00970434333038,19196.266666666666,1806.697044200772,14.066666666666666,1.2798809468443688,7.533333333333333,0.6399404734221844,7.533333333333333,0.6399404734221844,4.266666666666666,0.45773770821706367,0.0,0.0,0.0,0.0,1.0,0.0
3000.0,0.671875,1.1730499358640777E-7,3000.0,0.8815997698172925,0.4898518442773692,0.834,0.04396604351682228,0.3900174648405184,0.007049345417925478,0.7722156931062814,0.7142857142857143,-19.749999999999986,3000.0,806520.0,15.0,16044.199999999999,160.05677564093156,25514.133333333335,2653.2851299761173,17.8,1.9712215212183244,9.4,0.9856107606091622,9.4,0.9856107606091622,4.8,0.4140393356054125,0.0,0.0,0.0,0.0,1.0,0.0
4000.0,0.875,1.6675825463607909E-7,4000.0,0.8016003024193549,0.25786526365887286,0.919,0.033043644351066055,0.8815997698172925,0.008064516129032258,0.48072735549641926,0.25,-9.124999999999986,4000.0,941096.0,15.0,22960.86666666667,139.90295956568596,34408.53333333333,2357.1866362456826,24.333333333333336,1.7994708216848745,12.666666666666668,0.8997354108424372,12.666666666666668,0.8997354108424372,5.3999999999999995,0.5070925528371099,0.0,0.0,0.0,0.0,1.0,0.0
5000.0,1.015625,2.0273349946364763E-7,5000.0,0.9035175879396985,0.470510160289636,0.904,0.04978719192319199,0.8016003024193549,0.005025125628140704,0.7371001172938265,0.6,-11.972972972973036,5000.0,988880.0,15.0,26886.13333333333,192.5263865650879,37566.4,2131.346884685161,26.46666666666667,1.5976172734359608,13.733333333333334,0.7988086367179804,13.733333333333334,0.7988086367179804,5.933333333333334,0.45773770821706344,0.0,0.0,0.0,0.0,1.0,0.0
6000.0,1.15625,2.418126678094268E-7,6000.0,0.7473737373737374,0.2888982524634794,0.86,0.03607821536766672,0.9035175879396985,0.010101010101010102,0.588097428882822,0.4,-16.87234042553186,6000.0,1074200.0,15.0,33713.93333333334,217.09131280462992,43203.73333333334,3013.643439584781,31.66666666666667,2.581988897471612,16.333333333333336,1.290994448735806,16.333333333333336,1.290994448735806,6.466666666666667,0.5163977794943223,0.0,0.0,0.0,0.0,1.0,0.0
7000.0,1.34375,2.995356529330214E-7,7000.0,0.8434979838709677,0.3900833255493307,0.863,0.040669990476724226,0.7473737373737374,0.008064516129032258,0.6579997793900993,0.5,-16.436363636363552,7000.0,1190008.0,15.0,39330.333333333336,236.1433180648275,50853.333333333336,3663.534177084564,37.93333333333334,2.7115274205474953,19.46666666666667,1.3557637102737476,19.46666666666667,1.3557637102737476,6.733333333333334,0.7037315505489969,0.0,0.0,0.0,0.0,1.0,0.0
8000.0,1.515625,3.5756924060276817E-7,8000.0,0.6991799741044454,0.2399744101898183,0.91,0.029984264189175283,0.8434979838709677,0.007049345417925478,0.5111334199989768,0.2857142857142857,-10.612903225806395,8000.0,1305176.0,15.0,43813.33333333333,212.66965216593866,58467.2,4039.8854863544243,43.0,2.9277002188455996,22.0,1.4638501094227998,22.0,1.4638501094227998,7.133333333333333,0.7432233529572065,0.0,0.0,0.0,0.0,1.0,0.0
9000.0,1.65625,4.06987544718302E-7,9000.0,0.8041582830315225,0.3536826865914469,0.951,0.13102078456409078,0.6991799741044454,0.006036217303822937,0.7969593455907774,0.6666666666666666,-5.48529411764708,9000.0,1358400.0,15.0,48714.06666666666,224.9696699134195,61986.666666666664,4988.925487899126,45.666666666666664,3.6774732526300613,23.333333333333332,1.8387366263150307,23.333333333333332,1.8387366263150307,7.466666666666667,0.5163977794943222,0.0,0.0,0.0,0.0,1.0,0.0
10000.0,1.8125,4.653439585429927E-7,10000.0,0.9366834170854271,0.40897202061254756,0.95,0.09893674535952407,0.8041582830315225,0.005025125628140704,0.755681994215761,0.6,-5.849315068493182,10000.0,1443680.0,15.0,53158.86666666666,234.8768268891675,67621.86666666667,4594.238843636771,49.400000000000006,4.355620342893602,25.200000000000003,2.177810171446801,25.200000000000003,2.177810171446801,7.733333333333333,0.5936168397046636,0.0,0.0,0.0,0.0,1.0,0.0
