learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,AUC,sAUC,Accuracy,Kappa,Periodical holdout AUC,Pos/Neg ratio,G-Mean,Recall,KappaM,model training instances,model serialized size (bytes),ensemble size,[avg] model training instances,[err] model training instances,[avg] model serialized size (bytes),[err] model serialized size (bytes),[avg] tree size (nodes),[err] tree size (nodes),[avg] tree size (leaves),[err] tree size (leaves),[avg] active learning leaves,[err] active learning leaves,[avg] tree depth,[err] tree depth,[avg] active leaf byte size estimate,[err] active leaf byte size estimate,[avg] inactive leaf byte size estimate,[err] inactive leaf byte size estimate,[avg] byte size estimate overhead,[err] byte size estimate overhead
1000.0,0.140625,1.6915728338062764E-8,1000.0,0.5473790322580645,0.18064691060407934,0.859,0.026081670995192582,0.0,0.008064516129032258,0.56884858238148,0.375,-16.624999999999986,1000.0,464976.0,15.0,15.533333333333333,3.777124126457412,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2000.0,0.328125,3.9470032788813116E-8,2000.0,0.9954728370221329,0.7476638963982591,0.99,0.49576442113755687,0.5473790322580645,0.006036217303822937,0.9087288163712839,0.8333333333333334,-0.42857142857142855,2000.0,464976.0,15.0,27.46666666666667,5.276181880687514,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
3000.0,0.421875,5.074718501418829E-8,3000.0,0.9962349397590361,0.7975786059144605,0.984,0.3288590604026863,0.9954728370221329,0.004016064257028112,0.9919353522139875,1.0,-1.6666666666666667,3000.0,464976.0,15.0,36.0,5.3718844791323335,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
4000.0,0.5,6.01448118686676E-8,4000.0,0.9977777777777778,0.8998327112728843,0.983,0.5337356006582559,0.9962349397590361,0.010101010101010102,0.9913769630308558,1.0,-1.4285714285714286,4000.0,464976.0,15.0,53.13333333333333,6.4792709760398495,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
5000.0,0.609375,7.330148946493864E-8,5000.0,0.9964646464646465,0.884726742879586,0.981,0.47888096544158004,0.9977777777777778,0.010101010101010102,0.9400193421607683,0.9,-1.4999999999999853,5000.0,464976.0,15.0,75.73333333333333,5.96976509069622,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
6000.0,0.71875,8.645816706120967E-8,6000.0,0.9984174938857718,0.9390099926159976,0.99,0.5791600033667207,0.9964646464646465,0.007049345417925478,0.9949520121824071,1.0,-0.3333333333333432,6000.0,464976.0,15.0,86.79999999999998,7.093256354755951,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
7000.0,0.8125,9.773531928658485E-8,7000.0,0.9976454759502187,0.930464381377376,0.984,0.5230998509687026,0.9984174938857718,0.009081735620585268,0.9918944965217171,1.0,-1.0740740740740868,7000.0,464976.0,15.0,104.2,7.636379097077731,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
8000.0,0.890625,1.0713294614106417E-7,8000.0,0.9989888776541962,0.9553378320391871,0.99,0.6829221891052067,0.9976454759502187,0.011122345803842264,0.994931543646075,1.0,-0.23076923076922445,8000.0,464976.0,15.0,127.0,8.7831006565368,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
9000.0,0.984375,1.1841009836643934E-7,9000.0,0.9983454361614119,0.9428681396358283,0.992,0.7295652761814614,0.9989888776541962,0.011122345803842264,0.9959472984217435,1.0,0.05263157894737119,9000.0,464976.0,15.0,148.73333333333332,9.881199078962796,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
10000.0,1.078125,1.2968725059181453E-7,10000.0,1.0,0.9777293669014676,0.992,0.6886432630186046,0.9983454361614119,0.009081735620585268,0.9959554940433007,1.0,0.05882352941175856,10000.0,464976.0,15.0,169.66666666666669,10.293317295817758,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
11000.0,1.171875,1.409644028171897E-7,11000.0,0.9986211968011766,0.9561276007634483,0.986,0.6050775740479543,1.0,0.011122345803842264,0.9928969166830695,1.0,-0.6041666666666741,11000.0,464976.0,15.0,189.4,11.166275757194711,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
12000.0,1.25,1.50362029671669E-7,12000.0,0.9977939148818825,0.9342666273678861,0.979,0.5034991488556834,0.9986211968011766,0.011122345803842264,0.9893262509092333,1.0,-1.3551401869158854,12000.0,464976.0,15.0,211.46666666666667,14.549750447868105,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
13000.0,1.34375,1.6163918189704416E-7,13000.0,0.9988888888888889,0.9386776316937072,0.989,0.6402877697841717,0.9977939148818825,0.010101010101010102,0.9944289260117533,1.0,-0.2222222222222222,13000.0,464976.0,15.0,230.8,14.006121110836812,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
14000.0,1.453125,1.747958594933152E-7,14000.0,0.9997969543147208,0.9726744917963799,0.991,0.7648902821316611,0.9988888888888889,0.015228426395939087,0.9954209884076368,1.0,0.04545454545454706,14000.0,464976.0,15.0,257.2666666666667,13.645861050498935,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
15000.0,1.53125,1.841934863477945E-7,15000.0,0.9984879032258065,0.9431548099666051,0.985,0.5103160094019339,0.9997969543147208,0.008064516129032258,0.9924107175247879,1.0,-0.6071428571428635,15000.0,464976.0,15.0,276.2666666666667,15.503302259595568,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
16000.0,1.625,1.954706385731697E-7,16000.0,0.998992950654582,0.9686468289691346,0.982,0.43127962085307925,0.9984879032258065,0.007049345417925478,0.9908951063470227,1.0,-0.9591836734693863,16000.0,464976.0,15.0,289.46666666666664,15.037413658066649,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
17000.0,1.703125,2.04868265427649E-7,17000.0,0.9988659274193549,0.9647153096675959,0.985,0.5103160094019339,0.998992950654582,0.008064516129032258,0.9924107175247879,1.0,-0.645161290322576,17000.0,464976.0,15.0,304.0,16.822603841260722,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
