learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,AUC,sAUC,Accuracy,Kappa,Periodical holdout AUC,Pos/Neg ratio,G-Mean,Recall,KappaM,model training instances,model serialized size (bytes),ensemble size,[avg] model training instances,[err] model training instances,[avg] model serialized size (bytes),[err] model serialized size (bytes),[avg] tree size (nodes),[err] tree size (nodes),[avg] tree size (leaves),[err] tree size (leaves),[avg] active learning leaves,[err] active learning leaves,[avg] tree depth,[err] tree depth,[avg] active leaf byte size estimate,[err] active leaf byte size estimate,[avg] inactive leaf byte size estimate,[err] inactive leaf byte size estimate,[avg] byte size estimate overhead,[err] byte size estimate overhead
1000.0,0.109375,3.9878391867710484E-9,1000.0,0.9914816726897264,0.9107007071793121,0.982,0.9567274405723517,0.0,0.42450142450142453,0.9754633308935665,0.959731543624161,0.9395973154362416,1000.0,140936.0,15.0,998.6666666666667,34.21709402929367,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2000.0,0.171875,6.266604436354505E-9,2000.0,0.999361909766534,0.9349604552771607,0.989,0.9740781238217329,0.9914816726897264,0.44508670520231214,0.9847859249954856,0.974025974025974,0.9636963696369637,2000.0,140936.0,15.0,1990.5333333333333,46.83079979590154,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
3000.0,0.21875,7.975678373542097E-9,3000.0,0.9991382720235068,0.9358331121837462,0.988,0.971643004329168,0.999361909766534,0.4409221902017291,0.983993498486146,0.9738562091503268,0.9605263157894737,3000.0,140936.0,15.0,2989.4,61.491927460904456,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
4000.0,0.3125,1.3213009676999517E-8,4000.0,0.998608960018356,0.8914844348072084,0.99,0.97609896938756,0.9991382720235068,0.42450142450142453,0.9880376888259993,0.9832214765100671,0.9669421487603306,4000.0,215944.0,15.0,3983.5333333333333,60.407978028765406,7899.7333333333345,939.8400674481553,4.733333333333333,0.7037315505489967,2.8666666666666667,0.35186577527449836,2.8666666666666667,0.35186577527449836,1.8666666666666667,0.3518657752744984,0.0,0.0,0.0,0.0,1.0,0.0
5000.0,0.359375,1.5909285543279516E-8,5000.0,0.9987014303575652,0.9348384202433907,0.988,0.9709776189071139,0.998608960018356,0.4144271570014144,0.9844826245838305,0.9761092150170648,0.9600798403193612,5000.0,222344.0,15.0,4983.866666666667,63.40331972681683,8324.800000000001,1340.2560096595623,4.866666666666666,0.915475416434127,2.933333333333333,0.4577377082170635,2.933333333333333,0.4577377082170635,1.9333333333333333,0.45773770821706355,0.0,0.0,0.0,0.0,1.0,0.0
6000.0,0.40625,1.879968395870593E-8,6000.0,0.9991917269792296,0.9332962680934257,0.992,0.9815251880966787,0.9987014303575652,0.46412884333821375,0.9907568255350512,0.9873817034700315,0.9736263736263736,6000.0,238352.0,15.0,5980.666666666666,79.45948353601044,9382.400000000001,1710.3575566028796,5.666666666666668,1.2344267996967355,3.333333333333334,0.6172133998483678,3.333333333333334,0.6172133998483678,2.333333333333334,0.6172133998483678,0.0,0.0,0.0,0.0,1.0,0.0
7000.0,0.453125,2.184122826697098E-8,7000.0,0.9939069199285572,0.9437689456650578,0.994,0.9853999678799293,0.9991917269792296,0.40646976090014064,0.9926952039655926,0.9896193771626297,0.9800853485064012,7000.0,250816.0,15.0,6977.400000000001,79.67684732718784,10207.466666666665,2306.1269283202537,6.333333333333333,2.0930724738891344,3.6666666666666665,1.0465362369445672,3.6666666666666665,1.0465362369445672,2.6000000000000005,0.9102589898327995,0.0,0.0,0.0,0.0,1.0,0.0
8000.0,0.515625,2.6323606208380727E-8,8000.0,0.9996538045438154,0.9360180026501616,0.989,0.9734235322541677,0.9939069199285572,0.41843971631205673,0.9842466333539892,0.9728813559322034,0.9633943427620631,8000.0,277224.0,15.0,7989.533333333332,90.70979366455789,11953.066666666666,3333.7530859521135,7.3999999999999995,2.4142434484888695,4.2,1.2071217242444348,4.2,1.2071217242444348,2.8000000000000003,1.01418510567422,0.0,0.0,0.0,0.0,1.0,0.0
9000.0,0.578125,3.1290789290020866E-8,9000.0,0.9982546119778419,0.9368845631074423,0.988,0.972097565512591,0.9996538045438154,0.4513788098693759,0.9877634186378998,0.9871382636655949,0.9602209944751381,9000.0,307208.0,15.0,8997.666666666668,93.18466049935985,13932.800000000001,3328.1906538795865,9.0,2.390457218668787,5.0,1.1952286093343936,5.0,1.1952286093343936,2.8666666666666667,0.990430401872025,0.0,0.0,0.0,0.0,1.0,0.0
10000.0,0.625,3.5096309147775176E-8,10000.0,0.993979840111227,0.92887466644368,0.985,0.9649106390942266,0.9982546119778419,0.45985401459854014,0.977717211972808,0.9587301587301588,0.9504950495049505,10000.0,313816.0,15.0,10008.4,100.59238823802008,14371.733333333335,3443.085482252109,9.133333333333333,2.445598573141631,5.066666666666666,1.2227992865708155,5.066666666666666,1.2227992865708155,2.933333333333333,1.0327955589886444,0.0,0.0,0.0,0.0,1.0,0.0
