learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,AUC,sAUC,Accuracy,Kappa,Periodical holdout AUC,Pos/Neg ratio,G-Mean,Recall,KappaM,model training instances,model serialized size (bytes),ensemble size,size of class 0,size of class 1,[avg] model training instances,[err] model training instances,[avg] model serialized size (bytes),[err] model serialized size (bytes),[avg] tree size (nodes),[err] tree size (nodes),[avg] tree size (leaves),[err] tree size (leaves),[avg] active learning leaves,[err] active learning leaves,[avg] tree depth,[err] tree depth,[avg] active leaf byte size estimate,[err] active leaf byte size estimate,[avg] inactive leaf byte size estimate,[err] inactive leaf byte size estimate,[avg] byte size estimate overhead,[err] byte size estimate overhead
1000.0,0.140625,1.6918638721108438E-8,1000.0,0.7176159274193549,0.2440892776858342,0.993,0.360847333820304,0.0,0.008064516129032258,0.4997479203268061,0.25,0.125,1000.0,465056.0,15.0,0.9999959516233976,4.048376602315114E-6,1020.4666666666665,33.999719886801266,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2000.0,0.234375,2.8197731201847398E-8,2000.0,0.9959758551307847,0.44897223305378675,0.994,0.4969818913480855,0.7176159274193549,0.006036217303822937,0.7060389122945309,0.5,0.14285714285714285,2000.0,465056.0,15.0,0.9999895504323668,1.0449567633177859E-5,2027.5333333333333,45.90030604732494,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
3000.0,0.328125,3.9476823682586354E-8,3000.0,0.9957329317269076,0.45815088375310253,0.996,0.4979919678714839,0.9959758551307847,0.004016064257028112,0.7063964778619319,0.5,0.3333333333333333,3000.0,465056.0,15.0,0.9745813417167086,0.025418658283291234,3039.0666666666666,60.324677095419815,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
4000.0,0.40625,4.9724444074349275E-8,4000.0,0.851919191919192,0.23573879049647298,0.991,0.30448222565688066,0.9957329317269076,0.010101010101010102,0.44698767298213027,0.2,-0.2857142857142857,4000.0,507032.0,15.0,0.9239252949183139,0.07607470508168605,4057.7333333333336,60.52327376032023,5718.400000000001,148.7225604943648,3.0,0.0,2.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
5000.0,0.453125,5.5873016309407026E-8,5000.0,0.9906060606060606,0.4075941052529696,0.991,0.39597315436241654,0.851919191919192,0.010101010101010102,0.5471690226922019,0.3,-0.18421052631578255,5000.0,507032.0,15.0,0.9999999999999994,5.14323221798777E-16,5072.133333333334,63.74151670913523,5718.400000000001,148.7225604943648,3.0,0.0,2.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
6000.0,0.515625,6.430213236146503E-8,6000.0,0.9985613580779744,0.500491065843766,0.996,0.6647108130762779,0.9906060606060606,0.007049345417925478,0.7555482212670223,0.5714285714285714,0.46666666666666273,6000.0,521320.0,15.0,0.9999828027841948,1.7197215805130142E-5,6089.9333333333325,80.48910011980034,6660.800000000001,1329.5715314126041,3.933333333333333,1.0327955589886444,2.4666666666666663,0.5163977794943222,2.4666666666666663,0.5163977794943222,1.4666666666666668,0.5163977794943222,0.0,0.0,0.0,0.0,1.0,0.0
7000.0,0.546875,6.853609294113185E-8,7000.0,0.9973091153716784,0.6419375594124093,0.994,0.663639421459805,0.9985613580779744,0.009081735620585268,0.815259776510178,0.6666666666666666,0.22222222222221744,7000.0,523720.0,15.0,0.9999977228211796,2.277178820417357E-6,7102.8,80.66969691278136,6819.733333333334,1367.4213201009654,3.933333333333333,1.0327955589886444,2.4666666666666663,0.5163977794943222,2.4666666666666663,0.5163977794943222,1.4666666666666668,0.5163977794943222,0.0,0.0,0.0,0.0,1.0,0.0
8000.0,0.625,7.998699503433372E-8,8000.0,0.997334313815608,0.25383945539131775,0.992,0.42586479115832193,0.9973091153716784,0.011122345803842264,0.5222329678670935,0.2727272727272727,0.01538461538462043,8000.0,566568.0,15.0,0.9998198560001305,1.8014399986943767E-4,8136.466666666666,92.21548263765281,9652.266666666668,1347.342329321302,5.933333333333333,1.0327955589886444,3.4666666666666663,0.5163977794943222,3.4666666666666663,0.5163977794943222,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
9000.0,0.71875,9.373506246548559E-8,9000.0,0.9986211968011766,0.6492124566434743,0.997,0.8556304138594795,0.997334313815608,0.011122345803842264,0.9040766207919129,0.8181818181818182,0.6447368421052642,9000.0,566856.0,15.0,0.9878419746434465,0.01215802535655357,9159.6,93.79750225124037,9671.466666666667,1327.4403869674827,5.933333333333333,1.0327955589886444,3.4666666666666663,0.5163977794943222,3.4666666666666663,0.5163977794943222,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
10000.0,0.78125,1.0290044075292017E-7,10000.0,0.9993272788429196,0.666648848199729,0.997,0.8220218319886102,0.9986211968011766,0.009081735620585268,0.8814720281596296,0.7777777777777778,0.6470588235294095,10000.0,566856.0,15.0,0.9999999999662558,3.374422466929382E-11,10181.333333333332,100.64837424467018,9671.466666666667,1327.4403869674827,5.933333333333333,1.0327955589886444,3.4666666666666663,0.5163977794943222,3.4666666666666663,0.5163977794943222,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
11000.0,0.8125,1.0759340107647908E-7,11000.0,0.999172718080706,0.6662991093194028,0.996,0.7980002019997988,0.9993272788429196,0.011122345803842264,0.8523716123655739,0.7272727272727273,0.5416666666666645,11000.0,580496.0,15.0,0.999996720814926,3.2791850739630327E-6,11209.066666666668,97.7785155094824,10572.800000000001,1131.0224956711895,6.599999999999998,0.828078671210825,3.799999999999999,0.4140393356054125,3.799999999999999,0.4140393356054125,2.3333333333333335,0.48795003647426655,0.0,0.0,0.0,0.0,1.0,0.0
