learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,AUC,sAUC,Accuracy,Kappa,Periodical holdout AUC,Pos/Neg ratio,G-Mean,Recall,KappaM,model training instances,model serialized size (bytes),ensemble size,size of class 0,size of class 1,[avg] model training instances,[err] model training instances,[avg] model serialized size (bytes),[err] model serialized size (bytes),[avg] tree size (nodes),[err] tree size (nodes),[avg] tree size (leaves),[err] tree size (leaves),[avg] active learning leaves,[err] active learning leaves,[avg] tree depth,[err] tree depth,[avg] active leaf byte size estimate,[err] active leaf byte size estimate,[avg] inactive leaf byte size estimate,[err] inactive leaf byte size estimate,[avg] byte size estimate overhead,[err] byte size estimate overhead
1000.0,0.078125,2.8497500655551753E-9,1000.0,0.9930467135179827,0.9305141632760364,0.98,0.9585681140205502,0.0,0.6949152542372882,0.9781638230147423,0.9682926829268292,0.9512195121951219,1000.0,141000.0,15.0,0.5578292995562623,0.44217070044373774,740.8666666666666,27.720200645188758,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2000.0,0.140625,5.129550117999315E-9,2000.0,0.9988163665359825,0.952380793454573,0.984,0.9667486865731196,0.9930467135179827,0.6778523489932886,0.9829747967910066,0.9777227722772277,0.9606879606879607,2000.0,141000.0,15.0,0.7447906909035127,0.2552093090964874,1441.2666666666662,34.295911182085746,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
3000.0,0.171875,6.269450144221385E-9,3000.0,0.999581842872284,0.9587104217687217,0.988,0.9751589825119237,0.9988163665359825,0.6891891891891891,0.9875768469424808,0.9852941176470589,0.9705400981996727,3000.0,141000.0,15.0,0.6200859177479006,0.37991408225209955,2156.4,46.08346465149634,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
4000.0,0.21875,7.979300183554491E-9,4000.0,0.9985470380809246,0.96314991918607,0.989,0.9771494096238377,0.999581842872284,0.669449081803005,0.9895771964528586,0.9925187032418953,0.9728897104128158,4000.0,141000.0,15.0,0.5897865211932971,0.41021347880670284,2883.4666666666667,46.55851413109357,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
5000.0,0.3125,1.2445379979908466E-8,5000.0,0.9941569282136895,0.9041472138994706,0.982,0.9625619288094277,0.9985470380809246,0.669449081803005,0.9816763426237375,0.9800498753117207,0.9555335968379446,5000.0,184144.0,15.0,0.6183533025535441,0.38164669744645574,3605.933333333333,48.79617471346153,5795.733333333334,162.63169022877017,3.1333333333333337,0.5163977794943222,2.066666666666667,0.25819888974716115,2.066666666666667,0.25819888974716115,1.0666666666666669,0.2581988897471611,0.0,0.0,0.0,0.0,1.0,0.0
6000.0,0.40625,1.790952713539203E-8,6000.0,0.9977879430374463,0.9376867222354488,0.99,0.9791492910758965,0.9941569282136895,0.6611295681063123,0.9899914847877496,0.9899497487437185,0.9752270850536746,6000.0,225296.0,15.0,0.7558835121165014,0.24411648788349855,4325.599999999999,59.915178139003885,8515.733333333334,107.41073813481884,5.0,0.0,3.0,0.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
7000.0,0.453125,2.0679338679959376E-8,7000.0,0.9988490360677067,0.9530587175823942,0.99,0.9791492041251214,0.9977879430374463,0.6638935108153078,0.9895723612270584,0.9874686716791979,0.9751861042183623,7000.0,228408.0,15.0,0.640721865533001,0.3592781344669989,5041.8,65.58876210362351,8723.2,131.82845996651426,5.0,0.0,3.0,0.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
8000.0,0.46875,2.1603773348033427E-8,8000.0,0.9982861611674071,0.9557062752089179,0.986,0.9709524283769877,0.9988490360677067,0.6722408026755853,0.9866578613362864,0.9900497512437811,0.9652497672975489,8000.0,228696.0,15.0,0.6384516093206252,0.3615483906793749,5765.2,61.11020489948584,8742.4,119.24332865435895,5.0,0.0,3.0,0.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
9000.0,0.515625,2.438056981191039E-8,9000.0,0.9976837915579637,0.9372115556278756,0.977,0.9521072796934865,0.9982861611674071,0.6556291390728477,0.9779066544637434,0.9823232323232324,0.9428018789720917,9000.0,228984.0,15.0,0.6855427271098973,0.3144572728901028,6489.0,66.75434710296294,8761.6,101.33734327905553,5.0,0.0,3.0,0.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
10000.0,0.53125,2.5306168633202708E-8,10000.0,0.9992066623916868,0.9621819717923183,0.99,0.9794610581662833,0.9976837915579637,0.718213058419244,0.9900606027109646,0.9904306220095693,0.9752291305424821,10000.0,228984.0,15.0,0.5295411451884877,0.47045885481151234,7235.2666666666655,75.53094603885093,8761.6,101.33734327905553,5.0,0.0,3.0,0.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
11000.0,0.578125,2.808296509707967E-8,11000.0,0.9998263745349318,0.9668594614307966,0.996,0.9917321207110376,0.9992066623916868,0.6949152542372882,0.9958657823570481,0.9951219512195122,0.9901056892286935,11000.0,228984.0,15.0,0.620420462865627,0.37957953713437304,7969.333333333334,70.94129028053175,8761.6,101.33734327905553,5.0,0.0,3.0,0.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
12000.0,0.609375,2.993649104610085E-8,12000.0,0.9986978079767609,0.9492493910241014,0.985,0.9687637959901043,0.9998263745349318,0.6611295681063123,0.9854108660186846,0.9874371859296482,0.9628482972136223,12000.0,229272.0,15.0,0.49457853854877953,0.5054214614512205,8667.266666666666,61.4171528700792,8780.800000000001,74.36128024718239,5.0,0.0,3.0,0.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
13000.0,0.6875,3.549144215260942E-8,13000.0,0.9970436641326645,0.9271426501594857,0.985,0.9678456591639871,0.9986978079767609,0.5772870662460567,0.9864233253951847,0.9918032786885246,0.9625791594703511,13000.0,274848.0,15.0,0.7070513215534024,0.2929486784465977,9345.8,55.530171978844386,11790.933333333332,860.5851387006292,7.533333333333335,0.915475416434127,4.266666666666667,0.4577377082170634,4.266666666666667,0.4577377082170634,3.2666666666666675,0.4577377082170635,0.0,0.0,0.0,0.0,1.0,0.0
14000.0,0.765625,4.18055181701978E-8,14000.0,0.9993767266356715,0.9305794635372806,0.977,0.951910210089656,0.9970436641326645,0.6339869281045751,0.979267598417661,0.9896907216494846,0.9424897303089836,14000.0,312408.0,15.0,0.7070186054331994,0.2929813945668006,10030.2,69.6000821017577,14275.199999999999,206.8937615575407,9.0,0.0,5.0,0.0,5.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
15000.0,0.8125,4.559745624040563E-8,15000.0,0.9989908369692884,0.9534943128609228,0.984,0.966248855625261,0.9993767266356715,0.6155088852988692,0.9855403268229739,0.9921259842519685,0.9598662207357859,15000.0,312696.0,15.0,0.749367698226696,0.250632301773304,10727.733333333332,71.87734261192735,14294.4,200.7574229191609,9.0,0.0,5.0,0.0,5.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
16000.0,0.84375,4.81470164635943E-8,16000.0,0.9988860763702715,0.962925910833816,0.99,0.9792178427289466,0.9989908369692884,0.6750418760469011,0.98960686816296,0.9875930521091811,0.9749334168886103,16000.0,315368.0,15.0,0.5848271821203492,0.4151728178796507,11444.466666666667,55.310637915926016,14470.933333333332,487.3800902590834,9.133333333333333,0.5163977794943222,5.066666666666666,0.2581988897471611,5.066666666666666,0.2581988897471611,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
17000.0,0.9375,5.604327371757891E-8,17000.0,0.9996360728023663,0.9664485943094752,0.99,0.9788414419980449,0.9988860763702715,0.6207455429497569,0.9894176240536929,0.9869451697127938,0.9748743718592965,17000.0,325576.0,15.0,0.7182589952635094,0.28174100473649055,12143.333333333334,59.21349588766136,15143.999999999998,1045.1214556896518,10.2,1.01418510567422,5.6,0.50709255283711,5.6,0.50709255283711,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
18000.0,0.984375,6.033773792700635E-8,18000.0,0.9990408633897556,0.9598967475179295,0.991,0.9812263765237924,0.9996360728023663,0.6638935108153078,0.9904021914451907,0.9874686716791979,0.9773900907187718,18000.0,354136.0,15.0,0.5536163771280599,0.44638362287194017,12845.533333333335,75.07983052978311,17033.06666666667,199.65379559436917,11.0,0.0,6.0,0.0,6.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
