learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,AUC,sAUC,Accuracy,Kappa,Periodical holdout AUC,Pos/Neg ratio,G-Mean,Recall,KappaM,model training instances,model serialized size (bytes),ensemble size,[avg] model training instances,[err] model training instances,[avg] model serialized size (bytes),[err] model serialized size (bytes),[avg] tree size (nodes),[err] tree size (nodes),[avg] tree size (leaves),[err] tree size (leaves),[avg] active learning leaves,[err] active learning leaves,[avg] tree depth,[err] tree depth,[avg] active leaf byte size estimate,[err] active leaf byte size estimate,[avg] inactive leaf byte size estimate,[err] inactive leaf byte size estimate,[avg] byte size estimate overhead,[err] byte size estimate overhead
1000.0,0.1875,4.0157077213128413E-8,1000.0,0.8822197809514298,0.5807797492575182,0.782,0.1580866166667955,0.0,0.03199174406604747,0.8383434068239808,0.9032258064516129,-6.032258064516122,1000.0,827872.0,15.0,2461.5333333333333,55.50658476596232,5681.6,4731.95985975005,3.0,3.4641016151377544,1.9999999999999998,1.7320508075688772,1.9999999999999998,1.7320508075688772,0.7333333333333332,1.2798809468443688,0.0,0.0,0.0,0.0,1.0,0.0
2000.0,0.390625,8.790061757382419E-8,2000.0,0.9829222623966942,0.702503328567854,0.93,0.42555147058823606,0.8822197809514298,0.03305785123966942,0.9184356366099049,0.90625,-1.2222222222222225,2000.0,908560.0,15.0,4655.466666666667,77.33495482700746,11013.866666666667,3431.43847110106,6.999999999999999,2.390457218668787,3.9999999999999996,1.1952286093343936,3.9999999999999996,1.1952286093343936,2.666666666666667,0.816496580927726,0.0,0.0,0.0,0.0,1.0,0.0
3000.0,0.515625,1.2101612002071407E-7,3000.0,0.9469689403775092,0.6277347465749684,0.905,0.32949380311114856,0.9829222623966942,0.03199174406604747,0.8883547003895373,0.8709677419354839,-2.0319148936170213,3000.0,1024056.0,15.0,7048.066666666667,89.23601664499962,18650.133333333335,3012.181693122271,12.200000000000001,2.2424476423255526,6.6000000000000005,1.1212238211627763,6.6000000000000005,1.1212238211627763,3.666666666666666,0.4879500364742666,0.0,0.0,0.0,0.0,1.0,0.0
4000.0,0.609375,1.4683024750815496E-7,4000.0,0.9857052598325698,0.8015520736600757,0.923,0.3772443466727063,0.9469689403775092,0.026694045174537988,0.9596585635118151,1.0,-1.5666666666666629,4000.0,1064360.0,15.0,9235.999999999998,87.68775773814039,21312.0,4107.276887254063,14.466666666666667,2.5597618936887376,7.733333333333334,1.2798809468443688,7.733333333333334,1.2798809468443688,4.333333333333333,0.6172133998483673,0.0,0.0,0.0,0.0,1.0,0.0
5000.0,0.6875,1.691004985736476E-7,5000.0,0.9952543904958677,0.8464961847249024,0.934,0.46657183499288785,0.9857052598325698,0.03305785123966942,0.9653072991634227,1.0,-1.171052631578947,5000.0,1101888.0,15.0,11336.333333333336,112.41991858758038,23791.466666666667,4372.321741309051,16.333333333333332,3.1773004414499577,8.666666666666668,1.5886502207249786,8.666666666666668,1.5886502207249786,4.6000000000000005,0.6324555320336759,0.0,0.0,0.0,0.0,1.0,0.0
6000.0,0.78125,1.9665348291811014E-7,6000.0,0.9963457805184424,0.8639660478064201,0.953,0.5154838975712331,0.9952543904958677,0.02774922918807811,0.9755489665968389,1.0,-0.5754189944134068,6000.0,1136056.0,15.0,13570.733333333334,134.17976570187275,26049.599999999995,3966.716612730772,18.066666666666663,2.491891612715892,9.533333333333331,1.245945806357946,9.533333333333331,1.245945806357946,4.933333333333334,0.2581988897471611,0.0,0.0,0.0,0.0,1.0,0.0
7000.0,0.875,2.2538129188534284E-7,7000.0,0.9970103092783505,0.8827972171991272,0.973,0.6769562096195263,0.9963457805184424,0.030927835051546393,0.9859842536539862,1.0,0.09569377990430382,7000.0,1184496.0,15.0,15729.133333333331,125.7775057487664,29248.533333333333,3494.05695158971,20.866666666666667,2.972893411828826,10.933333333333334,1.486446705914413,10.933333333333334,1.486446705914413,5.2,0.4140393356054125,0.0,0.0,0.0,0.0,1.0,0.0
8000.0,0.96875,2.5502975202269024E-7,8000.0,0.9944501366120219,0.86856031204449,0.966,0.5602235099337747,0.9970103092783505,0.02459016393442623,0.9622529134270819,0.9583333333333334,-0.1673819742489298,8000.0,1222456.0,15.0,17648.600000000002,139.22171423411544,31758.93333333333,4350.79170901551,22.46666666666667,2.7740292167239504,11.733333333333334,1.3870146083619752,11.733333333333334,1.3870146083619752,5.533333333333333,0.5163977794943222,0.0,0.0,0.0,0.0,1.0,0.0
9000.0,1.109375,3.020138117588229E-7,9000.0,0.9966666666666667,0.8940586661341345,0.97,0.7126436781609191,0.9944501366120219,0.041666666666666664,0.9842509842514764,1.0,0.010989010989009783,9000.0,1291488.0,15.0,20379.8,131.11619710339812,36319.99999999999,4751.843191255968,26.06666666666667,2.914659173083209,13.533333333333335,1.4573295865416045,13.533333333333335,1.4573295865416045,6.0666666666666655,0.7037315505489967,0.0,0.0,0.0,0.0,1.0,0.0
10000.0,1.1875,3.287196482738687E-7,10000.0,0.9928352098259979,0.8651802866641165,0.963,0.5276515344942041,0.9966666666666667,0.02354145342886387,0.9598313975332456,0.9565217391304348,-0.25000000000000283,10000.0,1321352.0,15.0,22214.73333333333,134.59169294396983,38292.8,3966.4015213504845,27.933333333333334,2.711527420547495,14.466666666666667,1.3557637102737474,14.466666666666667,1.3557637102737474,6.3999999999999995,0.6324555320336758,0.0,0.0,0.0,0.0,1.0,0.0
